stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,2.63,2.63,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,1.15,0,0,0,0,1.15,0.57
 60-70,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0,0
