stage,epidermis,erythrocytes,eye,fast_muscle,glial,heart,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,2,4,1,0,0,0,0,0,0,8,0,2,3,3,0,0,1,0,0,0,0,4,0
 24-34,3.28,4.1,0,0,0,2.46,0.82,0,0,8.21,0,0,4.1,0,0,0,0,0,0,0,0,40.22,0
 36-46,0,1.61,0.81,0,0,0.81,0,0,0,2.42,0,0,5.64,0,0,0,0,0,0,0,0,33.03,0
 48-58,1.72,0,0,0,0.57,2.87,0,0,0,9.18,0,0,2.87,0,0.57,0,0,0,1.72,0,0.57,35.58,0
 60-70,0,0,2.94,0,0,2.94,0,0,0,5.89,0.98,0,1.96,0,0,0,0,0,0.98,0,0,28.46,0
 72-82,0,0,0,0,0.98,0.98,0,0,0.98,7.85,0,0,2.94,0,0,0,0,0,0,0,1.96,61.84,0.98
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,3.19,0,0,5.31,0,0,0,0,0,0,1.06,0,73.28,0
 96-106,0,0,2.19,1.09,0,2.19,0,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,0,88.52,1.09
108-118,0.77,0.77,3.06,0,0.77,0,0.77,0.77,0.77,4.6,0,0,1.53,0,0,0,0,0.77,0,0,0,65.11,0
120,0,0,0,0,1.96,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,72.51,0
