stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,1771.46,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0,42.91,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,42.06,0,149.84,0,2.63,0,205.04,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,1635.06,44.69,0,0,799.13,2.63,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,97.56,0,9.44,0,229.73,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,1252.49,18.88,0,0,704.92,3.15,18.88,0,84.97,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,20,154,45,0,110,0,0,23,5,3,0,2,8,0,0,0,0,95,0,0,96,1302,22,11,10,37,37,1,126,8,2,147,399,0,0,5,0,1
 24-34,0,0,0,4.1,40.22,13.95,0,368.56,0.82,1.64,44.33,1.64,0,3.28,4.1,0.82,2.46,3.28,3.28,0,201.11,1.64,0.82,79.62,1989.76,15.6,15.6,20.52,0,97.68,0,0.82,3.28,0,12.31,443.26,0,0,31.19,0,3.28
 36-46,0,0,0,0,26.59,6.45,0,694.49,0,0,41.89,1.61,0,0,2.42,0.81,3.22,1.61,3.22,0.81,157.11,2.42,2.42,49.95,1300.35,6.45,9.67,9.67,0,24.17,0.81,0.81,1.61,0.81,0,293.26,0,0,16.11,0,4.03
 48-58,0,0,0,0,20.66,2.87,0,782.1,1.72,1.15,34.43,1.72,0,4.02,3.44,0.57,1.15,1.15,1.15,0.57,188.78,0.57,10.9,36.15,611.1,4.59,2.87,6.89,0,12.05,0,0.57,1.72,0,0,103.28,0,0,12.05,0,0.57
 60-70,0.98,0,0,0,25.52,0,0,535.91,0,2.94,44.17,3.93,0,0.98,2.94,0,0.98,2.94,2.94,0,119.75,0.98,8.83,16.69,321.94,0.98,2.94,3.93,0,3.93,0,0,1.96,0,0,18.65,0,0,5.89,0.98,0
 72-82,0,0,0.98,0.98,27.49,1.96,0,190.44,0,0.98,50.06,7.85,0,4.91,9.82,0.98,1.96,0,1.96,0,133.51,0.98,8.83,22.58,242.47,0,4.91,6.87,0,4.91,0,0,0.98,0,0,3.93,1.96,0,14.72,0.98,0
 84-94,0,0,0,0,30.8,9.56,1.06,203.91,0,1.06,37.17,19.12,0,2.12,10.62,3.19,4.25,2.12,0,0,117.89,1.06,14.87,18.05,208.16,1.06,3.19,5.31,0,7.43,0,0,1.06,0,0,3.19,5.31,1.06,11.68,0,0
 96-106,0,0,0,0,22.95,3.28,3.28,133.33,0,0,27.32,13.11,0,3.28,17.49,0,3.28,2.19,2.19,0,71.04,0,5.46,19.67,150.81,1.09,6.56,3.28,0,8.74,0,0,1.09,0,0,5.46,2.19,0,14.21,0,1.09
108-118,0,0,0,0.77,22.98,16.09,3.06,131.75,0,0.77,37.53,6.89,0,0,8.43,2.3,3.83,1.53,4.6,0,52.85,0,5.36,18.38,219.07,1.53,4.6,3.06,0,3.06,0.77,0,3.83,0,0,2.3,3.06,0.77,10.72,0,0
120,0,0,0,0,13.72,9.8,0,129.35,0,0,29.4,5.88,0,0,5.88,1.96,0,1.96,1.96,0,41.16,0,3.92,11.76,203.82,3.92,3.92,3.92,0,5.88,0,0,1.96,0,0,1.96,0,0,11.76,1.96,0
