stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,31.54,0,0,0,28.92,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,236.58,10.51,0,0,157.72,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,107,0,15.73,0,47.2,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,365.05,56.65,0,0,468.9,0,3.15,3.15,0,59.79,0,9.44,0,0,0,0,0,0
 14-21,1,0,4,35,8,0,1,2,0,21,5,0,0,0,0,0,0,18,0,0,9,40,4,2,2,7,0,4,0,70,10,9,35,44,0,0,2,0,0
 24-34,0,0,2.46,14.78,0,0,8.21,4.93,0.82,8.21,1.64,0,0,0,0.82,0,0,23.8,0,0,17.24,43.51,0.82,3.28,0.82,0,0,0.82,0.82,0,6.57,0.82,13.13,41.86,0,0,4.93,0,0.82
 36-46,0,0,0,3.22,0,0,5.64,0,4.83,1.61,0,0,0.81,0,0,0,0.81,23.36,0,0,15.31,16.92,0.81,3.22,0.81,0,0,0,0,0,1.61,0.81,0.81,9.67,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,0,4.02,0.57,2.87,0,0,0,0,0,0,0,0,28.12,0,0,9.18,12.05,0,1.15,2.3,0,0,0,0,0,0.57,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,4.91,0,2.94,0,0,0,0,0,0,0,0,53.98,0.98,0,5.89,14.72,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0,0,1.96,0.98
 72-82,0,0,0,0.98,0,0,4.91,0,7.85,3.93,0,0,0,0.98,0,0,0,93.26,0,0.98,13.74,17.67,0,2.94,0.98,0,0,0.98,0,0,0.98,0,0,0.98,0.98,2.94,1.96,5.89,0
 84-94,0,0,0,1.06,0,0,6.37,1.06,1.06,6.37,1.06,0,1.06,0,0,1.06,0,41.42,0,2.12,7.43,4.25,0,5.31,1.06,0,3.19,2.12,0,0,0,0,0,2.12,0,2.12,2.12,6.37,1.06
 96-106,0,0,0,0,0,0,4.37,0,2.19,8.74,0,0,0,1.09,0,0,0,62.29,0,6.56,5.46,9.84,0,5.46,4.37,0,3.28,0,0,0,0,0,0,1.09,0,4.37,1.09,12.02,0
108-118,0,0,0.77,1.53,0,0.77,4.6,0,1.53,4.6,0.77,0,0,0.77,0,0,0,39.83,0,0.77,6.89,9.96,0,6.13,0.77,0,2.3,0,0,0,0,0,0,0.77,0.77,3.83,3.06,10.72,0.77
120,0,0,0,1.96,0,0,5.88,0,3.92,0,1.96,0,0,0,0,0,0,48.99,0,9.8,9.8,23.52,0,1.96,1.96,0,5.88,0,0,0,0,0,0,0,0,1.96,1.96,11.76,0
