stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,922.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,36.78,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,5.26,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,19,0,0,0,0,0,0,3,8,0,0,1,0,0
 24-34,0,0,0,2.46,0,13.95,0,0,0,3.28,0,0,0,1.64,0,0,0,4.1,6.57,0,0,4.93,76.34,0,25.45,0,0,0.82,0,1.64,14.78,0,0,2.46,0,0
 36-46,0,0,0.81,1.61,0,24.17,0,0,0.81,4.03,0,0,0,0,0,0,0.81,4.83,7.25,0,0,3.22,164.36,0,37.06,0,0,0.81,0.81,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,50.49,0,0,4.59,10.33,1.15,0,0,0,0,0,0,0.57,15.49,1.15,1.15,1.72,244.44,0.57,22.95,0,0,0.57,0,0,23.53,0,0,0.57,0,0
 60-70,0,0,0.98,1.96,0,197.29,0,0,5.89,20.61,1.96,0,0,0.98,0,0,0,0.98,20.61,0,0.98,0.98,392.61,0,28.46,1.96,0,0,0,0,36.32,0,2.94,0.98,0,0
 72-82,0,0,1.96,6.87,0,311.19,0,0.98,10.8,57.92,1.96,0,0,1.96,0.98,0,0,0.98,59.88,0,2.94,5.89,481.01,0.98,59.88,6.87,0,0,0,0,23.56,0,2.94,3.93,5.89,1.96
 84-94,0,0,4.25,6.37,2.12,168.86,0,0,7.43,26.55,2.12,0,0,2.12,0,2.12,0,0,24.43,0,2.12,6.37,284.63,0,45.67,7.43,0,2.12,0,0,8.5,0,1.06,0,4.25,0
 96-106,0,0,3.28,7.65,3.28,143.16,0,0,8.74,31.69,1.09,0,0,7.65,0,1.09,0,0,31.69,0,0,3.28,217.48,0,85.24,17.49,0,3.28,0,0,6.56,0,1.09,2.19,1.09,0
108-118,0,0,4.6,8.43,0,100.34,0,0.77,3.06,30.64,0.77,0,0,13.02,0.77,0,0,0.77,18.38,0,0,1.53,268.85,0,50.55,5.36,0,1.53,0.77,0,6.89,1.53,0.77,0,0.77,0
120,0,0,3.92,1.96,0,80.35,1.96,0,0,13.72,0,0,1.96,5.88,0,0,1.96,0,11.76,0,3.92,1.96,278.29,0,47.03,11.76,0,0,1.96,0,9.8,0,1.96,1.96,0,0
