stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,2.63,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,14,0,0,0,0,1,0,0,0,0,0,0,1,25,0,5,5,1,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,80.44,0,0,7.39,0,0,0,0,0,0,0,0,1.64,110.82,0,37.76,21.34,0,0,0,0,0,0.82,0,0,0,0.82,4.93,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,47.53,0,0.81,33.03,0.81,0,0,0,0,0.81,0,0,9.67,218.34,0.81,47.53,19.34,0,0,0,0,0,0,0,0,0,0,2.42,0,0,2.42,0,0.81
 48-58,0,0,0,0,0,0,75.74,0.57,0.57,53.36,1.72,0,0,0.57,0.57,1.72,0,0.57,20.66,248.46,2.87,43.04,17.21,0,0,0,0,0,0,0,0,0.57,0,3.44,0,0,2.87,0,1.72
 60-70,0,0,0,0,0.98,0,59.87,0,0.98,48.09,4.91,0,0,0,1.96,2.94,0.98,0.98,10.8,274.83,4.91,21.59,21.59,0,0,0.98,0,1.96,0,0,0,0,0,1.96,0,0.98,1.96,1.96,0
 72-82,0,0,0,0,1.96,0,65.77,0,0,77.55,8.83,0.98,0,0.98,1.96,4.91,0,0,25.52,379.9,5.89,37.3,22.58,0,0,0,0,1.96,0,0,1.96,0,0,0.98,0,4.91,7.85,2.94,0
 84-94,0,0,0,0,3.19,0,127.44,0,0,65.85,3.19,0,0,2.12,0,4.25,1.06,0,33.99,251.7,9.56,18.05,12.74,0,0,0,0,0,1.06,0,1.06,0,0,0,0,4.25,3.19,5.31,0
 96-106,0,0,0,0,2.19,1.09,128.96,0,1.09,46.99,1.09,1.09,0,2.19,3.28,7.65,1.09,0,30.6,243.7,8.74,16.39,31.69,0,1.09,1.09,0,4.37,3.28,0,6.56,0,0,2.19,0,6.56,6.56,4.37,0
108-118,0,0,0,0,2.3,0.77,126.38,0,0.77,44.43,2.3,0,0,1.53,2.3,15.32,0,0,43.66,211.41,6.13,18.38,22.98,1.53,0.77,1.53,0,2.3,0.77,0,6.89,0,0,0,0.77,4.6,2.3,4.6,1.53
120,0,0,0,0,7.84,0,64.67,0,1.96,35.28,7.84,0,0,0,1.96,9.8,0,0,17.64,199.9,9.8,7.84,23.52,0,0,0,0,3.92,1.96,0,17.64,0,0,0,0,3.92,3.92,13.72,0
