stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,22.03,0,0,0,15.73,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,4.02,0,0.57,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,0,2.94,0,1.96,0.98,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0.98,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,6.37,1.06,1.06,2.12,0,0,0,0,15.93,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,4.37,0,0,0,0,0,1.09,0,7.65,0,1.09,0
108-118,0,0,0,0,0,0.77,0.77,0.77,0,5.36,0,0,0,0,0,0,0,11.49,0,0,0
120,0,0,3.92,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,17.64,0,0,0
