stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,3,1,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,3.28,0,0.82,5.75,0.82,0,0.82,0,0,4.1,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.03,0.81,1.61,5.64,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,4.59,0,0,1.72,0.57,0,0,0,0,1.15,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0,7.85,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,10.8,0,0.98,3.93,0.98,0,0,0,0,1.96,0
 84-94,0,0,2.12,0,0,0,1.06,0,1.06,0,1.06,0,1.06,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,0,1.09,0,2.19,0,4.37,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,1.53,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
