stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,12.26,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.4,2.63,18.4,0
 10-12,0,0,0,0,0,0,0,0,0,0,28.32,0,6.29,0
 14-21,1,0,0,1,0,0,0,0,0,0,4,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,4.93,0,0,1.64
 36-46,0,0,0,1.61,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,2.94,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,2.3,0.77,0,0.77,0,0,0.77,0,1.53,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
