stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,9,0,0,0,0,2,0,0,9,19,0,0,0
 24-34,0,0,0,0,2.46,0,3.28,0.82,0,0,0,0.82,0,3.28,0,0,4.93,6.57,0,2.46,0,0,0,0.82,6.57,2.46,13.95,0,0,0
 36-46,0.81,0,0,0.81,8.06,0.81,0.81,0,0,0,0,3.22,0,9.67,0,0,1.61,8.06,0,3.22,0,0.81,0,0,12.89,0,11.28,0,0,0
 48-58,0,0,2.87,1.15,10.9,0.57,5.74,0,0,0,0,7.46,0,9.75,0,0,8.61,6.89,0.57,2.87,0,0,0,0,15.49,0,14.35,0,0,0
 60-70,0,0,2.94,5.89,12.76,1.96,29.45,0,0,0,0,4.91,0,20.61,0,0,5.89,11.78,0,4.91,0.98,0,0,0,3.93,0,9.82,0.98,0,0
 72-82,0,0,7.85,6.87,23.56,7.85,59.88,0,0,0,0.98,17.67,0,51.05,0,1.96,7.85,21.6,0,5.89,0.98,0,0,0.98,2.94,0,7.85,0,0.98,1.96
 84-94,3.19,0,5.31,6.37,33.99,2.12,47.79,0,0,1.06,1.06,10.62,0,27.61,0,1.06,5.31,4.25,0,7.43,0,0,0,0,3.19,0,6.37,0,1.06,1.06
 96-106,2.19,1.09,19.67,13.11,26.23,4.37,45.9,0,2.19,0,2.19,3.28,1.09,36.06,1.09,4.37,14.21,10.93,0,15.3,1.09,1.09,0,0,3.28,0,16.39,2.19,0,4.37
108-118,2.3,0,10.72,10.72,49.79,3.06,52.09,0,0,1.53,6.13,4.6,0,53.62,0.77,3.83,7.66,6.89,0,11.49,0.77,0.77,0,0,6.13,0,6.89,2.3,0,2.3
120,3.92,0,5.88,13.72,23.52,1.96,25.48,0,0,0,0,1.96,0,31.36,0,0,0,9.8,0,7.84,0,1.96,0,0,0,0,11.76,0,1.96,5.88
