stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,2,9,7,0,2,0,0,0,2,1,0,0,0,0,0,0,0,41,0,0,8,46,5,0,0,0,0,1,1,21,0,34,0,0,8,0,1
 24-34,0,0,2.46,1.64,4.93,0.82,0,4.93,0,0.82,0,2.46,0.82,0,5.75,0,0.82,0,0,0,21.34,0,0,6.57,32.83,0,1.64,0,0,0,22.98,0,2.46,0,32.01,0,0,54.18,0,3.28
 36-46,0,0,1.61,0,1.61,0,0,27.39,0,1.61,0,0.81,0,0,7.25,0,0,0,0,0,13.7,0,0.81,0,23.36,0,0.81,0,0,0,4.83,0,0.81,0,16.11,0,0,16.11,0.81,0.81
 48-58,0,0,0.57,0,5.16,0,0,84.35,0.57,5.16,0,6.89,0,0,5.74,0,0.57,0,0.57,0,6.89,0,1.72,1.15,41.31,0,1.72,1.15,0,1.15,2.87,0,1.15,0,22.38,0,0,37.3,0,0
 60-70,0,0,0,0,2.94,0,0,165.88,0,6.87,0,14.72,0.98,0,3.93,0.98,0,0,0.98,0,15.7,0,0.98,0.98,62.82,0,2.94,1.96,0,1.96,0,0,1.96,0,23.56,0,1.96,43.19,1.96,0
 72-82,0,0,0.98,0,16.69,2.94,0,303.33,2.94,9.82,0,54.97,0,0,2.94,2.94,0.98,0,2.94,0.98,55.95,0,6.87,4.91,357.32,0,11.78,7.85,0,5.89,2.94,0,0.98,0,53.99,0,3.93,126.63,2.94,1.96
 84-94,0,0,3.19,0,21.24,0,1.06,209.22,0,11.68,0,39.3,2.12,1.06,11.68,5.31,4.25,0,3.19,0,32.92,0,7.43,4.25,232.59,0,12.74,10.62,0,11.68,7.43,0,4.25,1.06,28.68,0,0,91.34,2.12,1.06
 96-106,0,0,2.19,1.09,40.44,2.19,1.09,241.52,4.37,18.58,1.09,71.04,4.37,0,13.11,9.84,0,2.19,12.02,4.37,66.66,1.09,15.3,8.74,522.38,0,40.44,34.97,0,9.84,9.84,0,3.28,0,44.81,0,4.37,147.53,6.56,2.19
108-118,0.77,0,0,0.77,27.57,3.06,0.77,307.92,1.53,16.85,1.53,94.98,2.3,0,6.89,6.13,2.3,0.77,9.96,0,62.04,0,10.72,4.6,844.09,0.77,16.09,20.68,0,6.89,1.53,0,6.89,0.77,35.23,2.3,0.77,98.81,8.43,0
120,0,0,0,0,35.28,3.92,1.96,276.33,3.92,21.56,0,64.67,3.92,1.96,5.88,11.76,1.96,0,9.8,0,48.99,0,19.6,7.84,909.34,0,23.52,41.16,1.96,3.92,3.92,1.96,1.96,0,37.24,0,5.88,109.75,9.8,0
