stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,0,0,0,0,1.64,0.82,0,1.64,0,0,0.82,4.1,1.64,0.82,2.46,13.95,0.82,0,0,0,0,0,0,0,0,3.28,0.82,3.28,0,2.46,0,0
 36-46,0,0,0,0,0,0,2.42,3.22,0,0,2.42,0,0,0.81,0,0,0,0,0,4.83,4.83,0.81,6.45,41.09,0,1.61,0,0,0,1.61,0,0,0.81,0.81,0,2.42,0,3.22,0,1.61
 48-58,0,0,0,0,1.15,0,2.87,5.16,0.57,1.15,4.59,0,0,0,0,1.15,0.57,0,1.15,9.18,1.72,0.57,9.18,21.23,0.57,1.15,0,0,0,0,0,0,0,2.3,0,1.72,0,1.72,0,0.57
 60-70,0,0,0,0,1.96,0,4.91,4.91,0,0.98,12.76,0,0,0,0,0,0,0.98,1.96,14.72,1.96,2.94,8.83,10.8,0,0,0,0,0,0.98,0,0,0,3.93,0,2.94,0.98,1.96,0,0
 72-82,0,0,0,0,4.91,0,8.83,5.89,0,0.98,8.83,0.98,0.98,0,0.98,0,0,0,0,20.61,2.94,2.94,4.91,22.58,0,0,0,0,0,0,0,0,0.98,1.96,0,1.96,0.98,3.93,2.94,0
 84-94,0,0,1.06,0,1.06,0,9.56,13.81,0,0,10.62,0,2.12,0,0,0,1.06,1.06,0,8.5,2.12,2.12,1.06,15.93,0,0,0,0,1.06,1.06,0,0,0,3.19,0,2.12,2.12,2.12,2.12,0
 96-106,0,0,0,0,2.19,1.09,6.56,13.11,0,0,8.74,2.19,0,0,2.19,0,1.09,0,0,9.84,3.28,0,5.46,10.93,0,0,2.19,0,1.09,0,0,0,0,3.28,0,0,0,1.09,3.28,0
108-118,0,0,0,0,2.3,0,6.13,10.72,0,0,8.43,1.53,0,0,0.77,0,0.77,0,1.53,12.26,2.3,2.3,7.66,14.55,0,0,3.83,0,0.77,0,0,0,0,7.66,0,2.3,0,2.3,2.3,0
120,0,0,0,0,1.96,0,0,11.76,0,0,13.72,1.96,0,1.96,3.92,0,0,0,0,7.84,3.92,1.96,3.92,25.48,0,0,3.92,0,0,0,0,0,0,1.96,0,5.88,0,7.84,0,0
