stage,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,9.44,18.88,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,33,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,63.21,0,0,1.64,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,58.81,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,24.1,0,0,0,0,0
 60-70,0.98,0.98,0,0,0,0,0,0,0,2.94,0,17.67,0,0,0,0,0
 72-82,2.94,0,0,0,0,0.98,1.96,0,0,0,0,19.63,0,0,0,0,0
 84-94,4.25,0,1.06,0,0,1.06,0,0,0,0,0,57.35,0,0,0,0,0
 96-106,7.65,0,2.19,0,0,1.09,0,1.09,1.09,3.28,0,72.13,0,0,0,0,1.09
108-118,6.13,0,3.83,0.77,0.77,0.77,0,1.53,0,0,0,61.28,0,0,0,0,0
120,11.76,0,7.84,0,0,0,0,0,0,1.96,0,82.31,0,0,0,0,0
