stage,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,2.63,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,5.75,0,0.82,0
 36-46,0.81,0.81,0.81,0,0,0,21.75,0,1.61,0
 48-58,0.57,5.16,0.57,0,0.57,0,28.12,0,1.15,0.57
 60-70,0,19.63,0.98,0,0.98,0,25.52,0,6.87,0
 72-82,0,19.63,0.98,0,0,0,22.58,0,0,0
 84-94,1.06,9.56,0,0,1.06,0,11.68,0,0,0
 96-106,0,4.37,1.09,1.09,0,1.09,3.28,0,0,0
108-118,0,6.13,0.77,0,0,0,8.43,0,0,0
120,0,1.96,1.96,0,1.96,0,5.88,0,0,0
