stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,35.3,0,0,0,0,0,23.8,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,19.34,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,4.59,0,0.57,0.57,0.57,0,0,0,0.57,0,0,28.69,0,0.57,0,0,0,8.03,0,0,0
 60-70,0,0,0,0,23.56,0,0,0.98,0,0,0,0,3.93,0.98,0,99.13,0,0.98,0,0,0,8.83,0,0,0
 72-82,0,0,0,0,36.32,0,0,0,1.96,0,0,0,4.91,0,0.98,128.6,0,0,0,0,0,8.83,0,0.98,1.96
 84-94,0,0,0,0,30.8,0,0,0,8.5,1.06,0,1.06,4.25,0,0,63.72,0,0,0,0,0,7.43,0,0,1.06
 96-106,0,0,0,0,36.06,0,0,0,5.46,0,1.09,0,6.56,0,0,44.81,0,1.09,0,2.19,0,1.09,1.09,0,1.09
108-118,0,0,0,0,20.68,0,0,0,8.43,0,0,0,8.43,0,0,68.17,0.77,0,0,0,0,0.77,0,0,0
120,0,0,1.96,1.96,27.44,1.96,0,0,9.8,0,0,0,13.72,0,0,131.31,0,3.92,0,0,0,5.88,0,0,3.92
