stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,12.59,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,52,0,0,0,0,0,0,0,9,0,0,0,0,1,4,7,0,0,0,0,0,38,0,0,13,51,2,0,0,0,0,0
 24-34,0,0,0,28.73,0,3.28,0,0,0,0,0,16.42,0,0,0,0,7.39,1.64,16.42,3.28,0,0,0,0,85.37,0,0,3.28,27.09,4.1,0,0,0,0,0
 36-46,0,0,0.81,20.14,0,4.03,4.83,1.61,0,0,0,15.31,0,0,0,0,1.61,0,18.53,2.42,0,0,0,0,82.18,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,12.62,0.57,8.61,5.16,1.15,0,0,0,5.16,1.15,0,0.57,3.44,13.2,0.57,20.08,4.02,0,0,0,0,49.92,0,0,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0.98,19.63,0,44.17,7.85,0.98,0,0,0,5.89,22.58,0,1.96,0.98,13.74,0,17.67,1.96,0,0,0,0,49.08,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,38.28,0.98,35.34,4.91,0,0,0,0,6.87,31.41,0,0,6.87,32.39,0.98,37.3,2.94,0,0,0,0,74.61,0,0,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,58.41,0,24.43,15.93,1.06,0,0,0,14.87,14.87,1.06,6.37,4.25,15.93,0,10.62,1.06,1.06,0,0,0,150.81,0,1.06,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,51.36,1.09,27.32,20.76,3.28,1.09,1.09,2.19,9.84,13.11,2.19,3.28,7.65,33.88,0,21.86,5.46,1.09,1.09,0,0,225.13,0,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,1.53,122.55,0,26.04,26.81,0,1.53,0,1.53,14.55,13.02,0,6.13,6.89,26.04,0,16.85,3.83,1.53,0,0,0.77,181.53,0,0,0,0,0.77,0,0.77,0,1.53,0.77
120,0,0,0,121.51,0,25.48,21.56,1.96,0,0,0,15.68,5.88,0,9.8,1.96,11.76,1.96,31.36,7.84,1.96,0,0,0,121.51,0,0,0,0,1.96,0,0,0,0,0
