stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,975.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1526.28,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,0,34.17,0,0,81.49,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,625.63,31.54,0,0,226.07,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,31.47,0,3.15,44.06,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,528.69,22.03,0,0,163.64,0,0,3.15,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,1,42,3,16,0,0,4,2,0,1,0,0,0,0,0,0,13,0,0,19,246,4,1,2,13,0,3,0,30,3,1,22,75,0,0,0,0,0
 24-34,0,0,0.82,0.82,9.03,0,23.8,0,0,1.64,0.82,0,0.82,0,0,0.82,1.64,0.82,0.82,18.06,0,0,6.57,200.29,0,0.82,0.82,0,0,8.21,0,0,0.82,0,0.82,39.4,0,0,0.82,0,0
 36-46,0,0,0,0,4.03,0,22.56,0,0,4.83,0,0,0.81,0,0,0,0,0.81,0,9.67,0,0,1.61,102.32,0,1.61,3.22,0,0,4.03,0,0,0,0,0,16.92,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,39.59,0,1.15,9.18,0,0,0,0,0.57,0.57,0.57,0,0.57,21.8,0.57,0,4.02,82.05,0,1.15,0.57,0,0,0,0,0,0.57,0,0,19.51,0,0,3.44,0,0
 60-70,0,0,0,0,1.96,0,63.8,0,0.98,10.8,0,0,0.98,0,0.98,0,0,0,0,26.5,0,0.98,2.94,110.91,0,0.98,0.98,0,0,2.94,0,0,0.98,0,0,14.72,0,0,1.96,0.98,0
 72-82,0,0,0,0,3.93,0,48.1,0,1.96,16.69,1.96,0,0,0.98,0,0,0,0,0,53.99,0,0.98,2.94,87.37,0,0.98,1.96,0,0,1.96,0.98,0,0,0,0,7.85,0,0.98,3.93,0.98,0.98
 84-94,0,0,2.12,0,6.37,2.12,20.18,0,1.06,8.5,3.19,0,0,0,1.06,1.06,1.06,0,0,28.68,0,0,5.31,45.67,0,6.37,3.19,0,0,9.56,0,0,0,0,0,3.19,1.06,0,3.19,0,1.06
 96-106,0,0,0,0,4.37,0,26.23,0,2.19,5.46,1.09,0,1.09,1.09,0,0,0,1.09,0,21.86,1.09,0,6.56,41.53,3.28,1.09,2.19,0,0,4.37,0,0,1.09,0,0,1.09,0,1.09,4.37,1.09,0
108-118,0,0,1.53,0,6.89,0,9.19,0.77,0.77,8.43,0,0,0,1.53,2.3,1.53,0,0,0,26.81,0,0.77,3.06,52.09,0,0,0.77,0,0.77,4.6,0,0,0.77,0,0,3.06,0.77,0,2.3,0,0
120,0,0,0,0,1.96,0,9.8,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0,9.8,0,0,0,45.08,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96
