stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,19,0,1,0,0,10,0,2,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,2.46,0,0,44.33,0,0.82,0.82,0,67.31,0,0,0,0,34.48,0,4.93,0,0
 36-46,0,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0,0,0,0.81,78.96,0,0.81,0,0,46.73,0.81,0,0,0.81,38.67,0,4.03,0,0
 48-58,0,0,1.72,0,2.3,0,0,0.57,0,0,2.3,0.57,1.15,0,0,0,0.57,52.22,0,2.3,0,0,18.36,0,0,0,0,25.25,0,3.44,0,0
 60-70,0,0,4.91,0.98,2.94,0,0,1.96,0,0.98,0,0,0.98,0,2.94,0,0,65.76,0,4.91,1.96,0,28.46,0,0,0.98,0,34.35,0,3.93,0,0
 72-82,0,0.98,2.94,0,15.71,0,0,4.91,0,0.98,9.82,0,0,0,3.93,2.94,0.98,91.29,0,5.89,3.93,0,26.5,0,0,0,0,16.69,0,4.91,0,0
 84-94,0,0,13.81,0,21.24,2.12,0,2.12,2.12,0,8.5,0,1.06,0,0,1.06,0,46.73,0,3.19,5.31,0,55.23,0,0,0,0,9.56,3.19,3.19,0,1.06
 96-106,0,0,26.23,0,41.53,0,0,1.09,1.09,0,9.84,1.09,1.09,1.09,1.09,0,1.09,57.92,0,7.65,4.37,0,44.81,0,0,0,0,5.46,2.19,2.19,1.09,0
108-118,0,0,15.32,0,36,0.77,0,1.53,1.53,0,6.89,1.53,1.53,0,1.53,0.77,0,49.79,0,5.36,0.77,0,42.89,0,0,0,0,1.53,6.13,3.83,0,0
120,0,0,19.6,0,19.6,0,0,5.88,3.92,0,0,1.96,1.96,0,0,0,0,56.83,0,7.84,0,0,48.99,0,0,0,0,3.92,1.96,3.92,0,0
