stage,endocrine_pancreas,epidermis,eye,glial,hatching_gland,heart,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  7-9,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,2,0,0,1,1,0
 24-34,0,0,0,0,0,0,0.82,0,4.93,1.64,0,0.82,0,0,0.82
 36-46,0,0.81,0,0,0.81,0,0,0,3.22,6.45,0,0,0,0,7.25
 48-58,0,0,0,0,0,0,0,0,4.59,1.15,0,0.57,0,0,2.87
 60-70,0,0.98,0.98,0.98,0,0,0,0,4.91,0,0,0,0,0,2.94
 72-82,0.98,0,1.96,0,0,0.98,0,0,4.91,0,0,0,0,0,1.96
 84-94,0,0,1.06,0,0,0,0,0,4.25,0,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,0,0,0,1.09,3.28,1.09,0,1.09,0,0,1.09
108-118,0.77,0,0,0,0,0,0,0,3.06,0.77,0,0.77,0,0,0.77
120,0,0,3.92,1.96,0,0,0,0,9.8,0,0,0,0,0,0
