stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,12.59,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,5,2,1,0,0,91,1,0,0,0,0,0,11,0,0,1,64,5,0,38,11,0,2,2,106,4,294,0,0,0,0
 24-34,0,0,0,0,5.75,0,4.93,0,0,82.91,0,0,0,0,0,1.64,7.39,0,0,0,68.95,4.1,1.64,13.13,0,0,0,0,36.94,3.28,204.39,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,61.23,0,0.81,0,0,0,1.61,5.64,0,0,2.42,75.73,0.81,8.86,4.03,0,0,0,0,20.95,0,123.27,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,8.03,0,0.57,51.64,0,3.44,0,0,0,1.72,5.16,0,0,1.15,40.74,1.72,5.16,6.89,0,0,0,0,6.31,0,109.02,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,3.93,0,1.96,60.85,0,4.91,0,0.98,0.98,4.91,9.82,0,0,0.98,44.17,0,11.78,5.89,0,0,0,0,2.94,0,52.02,0,0,0,0
 72-82,0,0,0,0,0.98,0,7.85,0,0,62.83,0,1.96,0,0,0,8.83,8.83,0.98,0,0,36.32,0,12.76,12.76,0,0,0,0,1.96,0,32.39,0,0,0,0.98
 84-94,0,0,1.06,0,3.19,0,11.68,0,1.06,50.98,1.06,8.5,1.06,0,2.12,12.74,6.37,0,0,1.06,27.61,0,16.99,14.87,0,0,0,0,9.56,0,27.61,0,1.06,0,0
 96-106,0,0,1.09,1.09,4.37,1.09,8.74,1.09,0,36.06,1.09,0,0,0,1.09,15.3,7.65,1.09,1.09,0,18.58,2.19,15.3,25.14,0,1.09,0,0,2.19,0,20.76,0,0,1.09,0
108-118,0,0,1.53,1.53,1.53,0,2.3,0,0,16.85,1.53,0,0,0,1.53,7.66,3.83,0,0,0.77,26.04,0.77,10.72,19.15,0,0,0,0,3.83,0,13.02,0.77,0,0.77,0
120,0,0,1.96,1.96,1.96,0,1.96,0,0,3.92,5.88,0,1.96,0,0,7.84,1.96,0,0,0,13.72,0,5.88,7.84,0,0,0,0,1.96,0,3.92,0,0,0,0
