stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,289.91,6035.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0
  5-6,159.37,1973.74,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,30.65,0,0,6.13,49.04,0,0,0,0,0,0,0,0,0
  7-9,34.17,26.29,23.66,0,0,57.83,0,0,0,0,21.03,0,0,0,0,0,0,0,0,565.17,21.03,0,236.58,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0,0,0,191.97,12.59,0,69.23,0,3.15,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,5,18,4,8,0,0,0,2,0,1,0,0,0,9,0,0,5,61,1,0,1,1,3,11,1,3,95,13,0,0,0
 24-34,0,0,0,0.82,0,6.57,0.82,0.82,0,0,0,0.82,0.82,0,0,12.31,0,0,3.28,41.86,0,0,0,6.57,0,0,0.82,0,0,8.21,0,0,0
 36-46,0,0,0,1.61,0,2.42,0,0,0,0.81,0,0,0,0,0,5.64,0,1.61,1.61,18.53,0,0,0,1.61,0,0,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,5.16,0.57,0.57,0.57,10.9,0.57,0,0,0.57,0,0,0,0,0,1.15,0,1.15,0.57
 60-70,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0,0,1.96,0.98,2.94,0.98,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0.98,9.82,0,0,0,7.85,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,2.12,0,0,0,0,0,8.5,0,0,2.12,2.12,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,2.19,0,0,1.09,1.09,0,0,0,0,0,14.21,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0,3.06,4.6,0,0,0,0,0,3.06,0,0.77,1.53,3.83,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0,15.68,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,0,0,0,0
