stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,1,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,2,0,0,86,0,0,0,0,0,0,0
 24-34,0,0,0,10.67,0,0,2.46,0.82,0,0,0,0.82,3.28,0.82,1.64,1.64,0,0,18.88,0,8.21,8.21,0,238.05,1.64,0.82,3.28,0,0.82,0,0
 36-46,0,0,0,6.45,0,0,1.61,0.81,0,0,0,1.61,0,0.81,0.81,0,0,0,15.31,0.81,2.42,2.42,0,157.11,0,0,2.42,0,0,0,0
 48-58,0,0,0,4.59,0,0,5.74,0.57,1.15,0,0.57,0.57,0.57,1.15,0,0,0,0.57,9.18,0,1.15,1.72,0,78.04,0,0,3.44,0,0,0,0
 60-70,0,0,0,11.78,0,0,1.96,0.98,0.98,0.98,0,0,0,0,1.96,0.98,0,0,4.91,0,0.98,1.96,0,73.61,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,21.6,0,0,3.93,0.98,0.98,3.93,0.98,6.87,1.96,0,2.94,0,0.98,0.98,10.8,0,0,3.93,0,82.46,0,0,1.96,0,0,0,0
 84-94,0,0,0,26.55,0,0,3.19,1.06,2.12,1.06,0,3.19,2.12,0,5.31,0,0,0,7.43,0,2.12,5.31,0,159.31,0,0,0,1.06,0,0,0
 96-106,0,0,0,42.62,0,0,1.09,1.09,2.19,8.74,0,8.74,0,0,1.09,1.09,0,0,13.11,0,3.28,2.19,0,148.63,1.09,0,0,3.28,0,1.09,0
108-118,0,0,0,32.17,0,0.77,0.77,3.06,1.53,5.36,0,9.19,0.77,0,3.83,3.06,0,0.77,7.66,0,0.77,4.6,0,144.77,0,0,0,6.13,0,0,0
120,0,0,0,29.4,0,0,3.92,5.88,0,11.76,0,7.84,0,0,1.96,1.96,0,0,7.84,0,0,1.96,0,78.39,1.96,0,0,0,0,0,0
