stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,1,0,0,0,0,1,18,0,0,0,0,0
 24-34,0,1.64,1.64,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,1.64,188.8,0.82,4.1,1.64,0,0,0,0,68.95,0,0,0,0,0
 36-46,0,0.81,0,0,4.83,0,0,1.61,0,0,0,0,0,0.81,0.81,0,0,493.07,0,9.67,0,0,0,1.61,0,142.6,0,0,0,0,0
 48-58,0,0.57,0.57,0,35.58,0,0,6.31,0,0,0,0,0,0,4.59,0.57,2.3,616.27,0,6.89,0,0,0,0,0,103.28,0,0.57,0,0,0
 60-70,0,0.98,0.98,0,178.64,0,0,8.83,0,0,0.98,0,0,0,3.93,0,0.98,922.63,0,8.83,2.94,0,0,0,0,93.24,0,0,0,0,1.96
 72-82,0,0.98,4.91,0,341.62,0.98,0,30.43,0.98,0,0,0.98,0.98,0,13.74,0,1.96,1005.22,0,22.58,4.91,0,0,2.94,0,53.99,0,0,1.96,0.98,3.93
 84-94,0,0,6.37,5.31,176.3,1.06,0,23.36,0,0,0,0,1.06,0,8.5,0,1.06,517.21,0,7.43,6.37,0,0,0,0,42.48,3.19,1.06,0,1.06,1.06
 96-106,0,0,2.19,1.09,150.81,0,0,29.51,1.09,0,2.19,2.19,3.28,2.19,7.65,1.09,1.09,425.12,0,12.02,8.74,0,0,2.19,0,19.67,5.46,0,0,0,2.19
108-118,0,0.77,2.3,0.77,121.79,0,0.77,19.15,0.77,0,0.77,0,2.3,0.77,8.43,0.77,0.77,493.28,0,14.55,3.83,0,1.53,0.77,0,10.72,3.83,0,1.53,0,1.53
120,0,0,3.92,0,82.31,0,0,19.6,0,0,0,0,0,0,1.96,0,0,501.71,0,13.72,3.92,0,0,1.96,0,21.56,0,1.96,0,0,0
