stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,0,2,8,2,0,2,0,0,5,0,0,1,3,0,0,0,0,0
 24-34,0,0,0,0,6.57,0.82,0,3.28,0,3.28,0,1.64,0.82,0,1.64,0,4.93,0,0,0,0,9.03,0,0,1.64,25.45,0.82,0.82,0.82,0,0,12.31,1.64,0,1.64,4.1,0,0,2.46,0,0
 36-46,0,0,0,0,4.03,0,0,3.22,0,0.81,0,7.25,0.81,0,0,0,2.42,0,0,0,0,8.86,0,0.81,4.83,22.56,0,0.81,1.61,0,0,11.28,2.42,0.81,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,2.87,0,1.15,0.57,15.49,0,0,0,0,1.15,0,0.57,0,0,18.36,0.57,0.57,1.72,16.64,1.15,0.57,0.57,0,0,2.87,0.57,0.57,0,13.2,0,0,1.15,0,0
 60-70,0,0,0,0,12.76,0,0,2.94,3.93,1.96,1.96,29.45,4.91,0,0.98,0,0,0,1.96,0.98,0.98,34.35,0,0.98,1.96,12.76,0,0,2.94,0,0,5.89,1.96,0,0,6.87,0,0.98,0,0,0
 72-82,0,0,0.98,0,12.76,1.96,0,10.8,0,2.94,0,82.46,19.63,0,0.98,0,3.93,0,0.98,1.96,0,71.66,0,1.96,7.85,20.61,0.98,0.98,4.91,0,0,2.94,2.94,0,0,6.87,0,0,3.93,4.91,0
 84-94,0,0,0,1.06,19.12,1.06,0,7.43,1.06,6.37,0,29.74,38.23,0,1.06,0,3.19,0,1.06,2.12,3.19,44.61,0,0,4.25,12.74,0,1.06,7.43,0,0,6.37,3.19,1.06,0,3.19,0,3.19,1.06,3.19,3.19
 96-106,0,0,2.19,0,9.84,0,1.09,3.28,2.19,6.56,2.19,32.79,153,0,3.28,0,0,1.09,0,6.56,0,54.64,1.09,2.19,2.19,37.16,0,1.09,3.28,0,2.19,14.21,6.56,0,0,5.46,1.09,2.19,2.19,1.09,6.56
108-118,0,0,0,0,17.62,2.3,7.66,9.19,0,2.3,1.53,32.17,227.49,0,1.53,0.77,6.13,2.3,0,16.09,0,27.57,0,1.53,4.6,35.23,3.06,1.53,4.6,0,1.53,5.36,5.36,0,0,4.6,0.77,0,3.83,3.06,3.83
120,0,0,0,0,19.6,0,5.88,5.88,0,3.92,0,31.36,172.46,0,0,0,5.88,1.96,1.96,15.68,0,29.4,0,1.96,3.92,31.36,3.92,0,11.76,0,1.96,15.68,3.92,0,0,1.96,0,0,1.96,0,0
