stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,1,25,0,6,24,0,0,0,0,0,0,2,0,1,0,0,0,2
 24-34,0,3.28,0,0.82,0,0,0,0,0.82,0,17.24,0,0,2.46,123.13,0,17.24,9.85,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,1.61,0,0.81,0,0,0.81,0,29.81,0,0,0,173.22,0,14.5,10.47,0,0,0.81,0,0,0,0,0.81,0,1.61,0,0,0
 48-58,0,0.57,0.57,4.59,0,2.3,1.15,0,0,0,54.51,0,0,0.57,207.14,0,9.75,7.46,0,0,1.72,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,6.87,0,1.96,0,0.98,0,0,95.21,0,0,0,287.59,0.98,4.91,9.82,0,0,1.96,0,2.94,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,7.85,1.96,5.89,1.96,0,0,0,86.39,0,0,0.98,362.23,0,5.89,7.85,0,0,5.89,0,0.98,0,0,0,0,0.98,0,0.98,0.98
 84-94,0,1.06,0,12.74,0,1.06,2.12,0,0,1.06,122.13,0,0,0,235.77,2.12,9.56,9.56,2.12,0,10.62,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,5.46,0,2.19,0,0,2.19,1.09,119.12,0,1.09,0,197.81,0,9.84,14.21,3.28,1.09,12.02,0,3.28,1.09,0,1.09,0,0,1.09,0,0
108-118,0,0.77,0,4.6,0,1.53,0.77,0,0,0.77,169.28,0.77,0,0,201.45,0.77,7.66,10.72,1.53,0,9.96,0,2.3,1.53,0,0,0,0,0,0,0
120,0,1.96,0,1.96,1.96,0,0,0,0,0,88.19,0,0,0,148.94,1.96,3.92,7.84,0,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96
