stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,16.42,0.82,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,23.36,0,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,3.44,0,2.3,0,0,0,0,0,0,0,2.87,0,0,0,29.84,1.15,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0.98,0,11.78,0,1.96,0,0,0.98,0,0.98,0,0,5.89,0,0,0.98,41.22,0.98,0,0,0.98,0,0,1.96,0,0,0.98,0
 72-82,0,0.98,0.98,0,14.72,0,3.93,0,0,11.78,0,0,0,0,0.98,0,0,0.98,65.77,0,0,0,0.98,0,0,1.96,0,0,0.98,0
 84-94,0,0,2.12,0,6.37,0,3.19,1.06,0,7.43,0,0,0,0,3.19,0,0,2.12,25.49,2.12,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,12.02,0,4.37,0,1.09,25.14,0,1.09,0,1.09,3.28,1.09,2.19,1.09,34.97,2.19,0,0,4.37,0,0,1.09,1.09,0,1.09,0
108-118,0,0,1.53,1.53,5.36,0.77,2.3,0,0.77,23.74,0.77,0,0.77,0,6.13,0,0,2.3,26.04,0.77,0,0,2.3,0.77,0,0.77,0,0.77,0.77,0
120,0,0,0,0,5.88,0,5.88,1.96,0,54.87,1.96,0,0,0,1.96,0,0,0,33.32,0,0,0,0,0,0,0,0,0,0,1.96
