stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,heart,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,1.61,0,0,0,1.61,0,0,0.81
 48-58,0,0,0,12.62,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0,0,56.93,0,0.98,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,74.61,0.98,0.98,0,0.98,0,2.94,0,0,0,0,0.98,0,0
 84-94,0,2.12,0,90.27,0,0,0,0,0,2.12,0,0,0,2.12,0,1.06,0
 96-106,0,1.09,0,61.2,0,0,0,1.09,0,1.09,0,0,0,3.28,0,1.09,0
108-118,0,0,0.77,57.45,0,0.77,0,0,1.53,2.3,0,0.77,0,3.06,0,0,0
120,0,5.88,0,72.51,0,0,0,0,0,1.96,1.96,0,0,15.68,0,0,0
