stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,4,0,0,1,0,0,1,1,1,1,1,16,0,0,1,0,4,1,2,10,0,3,0,1
 24-34,0.82,0,3.28,0,0,0,0,0,0,0,0.82,1.64,0.82,39.4,0,0,0,0.82,0,0,0.82,7.39,0,5.75,0,0
 36-46,0.81,0,2.42,0,0,0.81,0.81,0,0,0,0,0.81,0.81,107.15,0,0,0,0,0,0,0.81,8.86,0,1.61,0,1.61
 48-58,0,0,10.33,0,0,2.3,1.15,0,0,0,0,2.87,0.57,138.86,0.57,0,0,0,0,0,0,17.21,0,1.15,0,0
 60-70,0,0,44.17,0,0,1.96,0,0,0,0,0,0.98,1.96,180.6,0,0,0,0.98,0,0,0,19.63,0,0,0,0
 72-82,0.98,0,54.97,0,0.98,4.91,0.98,0,0,0,0,3.93,0.98,148.23,0,1.96,0,0,0,0,0,9.82,0,0.98,0.98,0
 84-94,0,1.06,27.61,1.06,0,3.19,2.12,0,0,0,0,3.19,0,98.77,0,0,0,0,0,0,0,7.43,1.06,1.06,0,0
 96-106,3.28,0,22.95,0,0,2.19,4.37,0,0,0,1.09,1.09,1.09,55.74,0,0,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,15.32,0,0,0.77,2.3,1.53,0,0,0,2.3,0,67.4,0,0,0,1.53,0,0,0,0,0,0,0,0
120,3.92,0,17.64,0,0,1.96,1.96,0,0,0,0,0,0,66.63,0,0,0,0,0,0,0,1.96,0,0,1.96,0
