stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,40.91,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,4,0,1,0,0,15,0,0,0,0,0,0,0,4,0,0,149,1,0,0,0,0,0,7,0,5,91,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,10.67,0,0,11.49,0,0,0,0.82,0,0,0,4.93,0,0.82,508.11,1.64,0.82,0,0,0.82,0,0,0,0.82,149.4,0,0,0,0,0.82
 36-46,0,0,1.61,0,1.61,0,37.06,0,0.81,29.81,0,0.81,0,0,0,0,0,7.25,0,0.81,700.13,0,0.81,0,0,0.81,0,0,0,0,157.91,0,0,0,0,0
 48-58,0.57,0,0,0,2.3,0,86.07,0,0.57,69.43,0,0,0,0,0.57,0,0.57,13.77,0.57,1.72,620.86,0,0.57,0,0,0.57,0,0,0,0,145.75,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,161.95,0,0,63.8,0,0,0,0,0.98,0.98,0,15.7,0.98,0,716.51,0,1.96,0,0,0,0,0,0.98,0,111.89,0,0,2.94,0,0
 72-82,0,0,0.98,0,2.94,1.96,176.7,0,0,87.37,0.98,0,0,0,0,0.98,0,15.71,0,0,599.8,0,2.94,0,0,1.96,0,0,0,0,54.97,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,6.37,0,118.95,0,1.06,40.36,0,0,1.06,0,0,0,0,18.05,2.12,0,289.94,0,3.19,1.06,0,3.19,0,0,0,0,29.74,2.12,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,101.63,1.09,0,38.25,0,0,0,0,0,1.09,0,15.3,0,1.09,261.19,0,1.09,1.09,0,3.28,0,0,0,0,15.3,0,0,1.09,0,0
108-118,0,0,0.77,0,2.3,0,75.06,0,0,35.23,0,0,0,0,0,0.77,0,8.43,0.77,0.77,297.19,0,0.77,0,0,0.77,0,0,0,0,12.26,0,0.77,0,0,0
120,0,0,0,0,5.88,0,54.87,0,0,25.48,0,0,0,0,0,0,0,15.68,0,0,278.29,0,0,0,0,1.96,0,0,0,0,13.72,0,0,0,0,0
