stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,52.71,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,741.69,0,0,0,0,0,0,0,0,0,0,98.07,0,0,49.04,0,0,0,0,0,0
  7-9,49.95,78.86,218.18,0,0,28.92,0,0,0,7.89,0,0,1493.11,115.66,0,1813.81,5.26,0,2.63,0,0,0
 10-12,0,72.38,132.17,0,0,15.73,0,0,0,6.29,0,3.15,852.83,100.7,0,1825.24,3.15,9.44,72.38,0,12.59,0
 14-21,0,0,0,1,1,0,0,3,1,0,0,6,18,3,0,9,0,139,1,1,159,82
 24-34,0,0,0,0,0.82,0.82,0.82,0.82,0,0,0.82,3.28,4.93,0.82,0,0,0,0,0,0.82,25.45,19.7
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,3.22
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
