stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,neural,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,14.78,2.46,0
 36-46,0,0,0.81,0,0,0,26.59,3.22,0
 48-58,0,0,2.87,0.57,0,0,48.2,5.74,0
 60-70,0,0,14.72,0,0,0,45.15,4.91,0.98
 72-82,0,0,15.71,0.98,0,0,68.72,1.96,0
 84-94,0,1.06,13.81,1.06,0,1.06,40.36,0,0
 96-106,0,0,7.65,0,0,1.09,27.32,2.19,0
108-118,0,0.77,3.06,0,0.77,1.53,26.81,0,0
120,0,0,9.8,0,0,0,25.48,0,0
