stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,3294.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1115.59,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,30.65,0,110.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,57.83,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,310.19,7.89,0,0,68.35,0,73.6,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,34.62,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,991.3,6.29,0,0,88.12,0,37.76,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,317,53,3,0,0,0,6,3,0,5,0,14,0,1,3,0,21,0,0,2,28,41,0,2,2,0,99,0,2,8,26,7,38,0,0,40,0,0
 24-34,0,0,0.82,2.46,161.71,6.57,3.28,2.46,18.06,0.82,0,0.82,0,9.85,0,13.13,0.82,8.21,4.1,2.46,69.77,1.64,0.82,13.13,62.39,79.62,3.28,2.46,0,0,244.62,0,0.82,9.03,12.31,5.75,27.91,0,0,111.64,0,0.82
 36-46,0,0,0,0,59.62,0,11.28,3.22,22.56,3.22,2.42,0.81,0,10.47,0,6.45,0,6.45,0.81,12.89,88.62,0.81,0.81,14.5,47.53,66.87,5.64,0,0,0,165.16,0,0,4.03,7.25,0,12.09,0,0,56.4,0,3.22
 48-58,0,0,0,0,25.82,0.57,7.46,3.44,17.21,3.44,2.87,0.57,0,8.03,0,1.15,0,5.16,1.15,14.92,124.52,1.15,0.57,12.05,40.74,48.77,1.15,2.3,0,0.57,76.89,0,0,1.72,2.3,0,4.59,0,0.57,39.59,0,12.62
 60-70,0.98,0,0,0,43.19,0.98,14.72,0.98,19.63,3.93,19.63,4.91,0,8.83,0,6.87,0.98,6.87,0.98,13.74,346.48,0,2.94,8.83,41.22,41.22,2.94,6.87,0,0.98,88.34,0,0,0.98,0.98,0,6.87,0,0,37.3,1.96,20.61
 72-82,0,0,0.98,0,49.08,0.98,18.65,1.96,12.76,5.89,93.26,12.76,0.98,13.74,1.96,5.89,1.96,8.83,3.93,13.74,633.17,0,0.98,8.83,37.3,25.52,3.93,9.82,0,0.98,81.48,0,0,1.96,0.98,0,7.85,0,5.89,62.83,1.96,12.76
 84-94,1.06,0,0,0,78.59,1.06,25.49,4.25,28.68,7.43,56.29,24.43,0,6.37,2.12,14.87,4.25,9.56,4.25,25.49,550.14,2.12,6.37,7.43,43.54,45.67,1.06,13.81,0,0,257.01,0,0,5.31,0,0,2.12,1.06,9.56,74.34,3.19,18.05
 96-106,0,0,0,0,73.22,2.19,22.95,2.19,21.86,7.65,79.78,8.74,0,14.21,2.19,13.11,1.09,10.93,6.56,6.56,349.71,2.19,2.19,5.46,32.79,27.32,4.37,10.93,0,0,181.41,0,0,5.46,4.37,0,1.09,0,7.65,53.55,4.37,16.39
108-118,0.77,0,0.77,0.77,74.3,1.53,14.55,5.36,32.94,5.36,63.57,14.55,0,8.43,2.3,10.72,6.13,3.06,8.43,9.19,247.41,1.53,0,1.53,26.81,29.87,3.83,13.79,0,1.53,121.79,0,0,1.53,1.53,0,1.53,0,6.89,42.13,3.06,11.49
120,1.96,0,0,0,62.71,1.96,11.76,3.92,19.6,1.96,64.67,21.56,0,5.88,5.88,7.84,1.96,5.88,7.84,5.88,270.45,3.92,0,0,29.4,37.24,5.88,7.84,0,1.96,97.99,0,0,3.92,1.96,0,0,0,7.84,21.56,0,3.92
