stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,28.32,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,1.64,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0.81,4.03,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.15,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98,1.96,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0,0,6.87,0,0,5.89,0,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,4.25,0,0,0,1.06,5.31,2.12,2.12,7.43,0,0,0
 96-106,0,0,0,0,0,3.28,2.19,1.09,4.37,0,1.09,1.09,0,5.46,0,5.46,2.19,0,0,0
108-118,0,0,0.77,0,0,7.66,0,0,8.43,0,0,0.77,0,1.53,0.77,3.83,3.83,0,0,0.77
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,3.92,0,3.92,3.92,0,0,0
