stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,19,0,1,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,4,31,0,0,0,0,0,0,0,3,0,5,3,0,0,3,0,0
 24-34,0,0,0,0.82,6.57,0.82,0.82,0,0,0,0,0,0,2.46,0,0,0,0,0,3.28,0,0,4.1,77.16,1.64,0,1.64,0,0,0,0,0,1.64,0,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,0,7.25,0,2.42,2.42,0,0,0,0,0,10.47,0,0,4.83,41.89,0.81,0,1.61,0,0,0,0,0,0.81,0,2.42,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0,8.61,0,0,0,17.79,1.15,0,5.16,0,0,0,0.57,0,21.8,0,0,1.15,19.51,0,0.57,0.57,0,0,0,0,0,0.57,0,3.44,0,0,5.16,0,0.57
 60-70,0,0,0,0,8.83,0,10.8,0,0,0,30.43,6.87,1.96,12.76,0,0,0,0,0,55.95,0,0,3.93,17.67,0,0,0,0,0,0.98,0,0,1.96,0,1.96,2.94,0.98,2.94,0,0
 72-82,0,0,0,0,15.71,0,20.61,0,0,0,50.06,18.65,0,7.85,1.96,0,0,0,0,140.38,0,0.98,2.94,12.76,0,3.93,1.96,0,0,0.98,0,0,0.98,0,1.96,1.96,2.94,3.93,1.96,0
 84-94,0,0,2.12,0,23.36,0,7.43,0,0,1.06,38.23,15.93,0,28.68,0,1.06,1.06,0,1.06,106.2,0,2.12,0,16.99,0,1.06,2.12,0,1.06,1.06,0,0,3.19,0,2.12,2.12,0,4.25,1.06,0
 96-106,0,0,2.19,0,39.34,0,22.95,1.09,2.19,0,28.41,28.41,2.19,19.67,2.19,1.09,0,2.19,0,132.23,1.09,1.09,4.37,14.21,0,5.46,3.28,0,1.09,2.19,1.09,0,1.09,0,1.09,1.09,1.09,3.28,0,0
108-118,0,0,0,0,30.64,0,20.68,0,0,0.77,26.81,26.81,1.53,22.98,3.83,0,0,1.53,2.3,95.75,1.53,0,0.77,20.68,0,6.89,2.3,0,2.3,1.53,0,0,3.06,0,1.53,0.77,0,3.83,1.53,0.77
120,0,0,0,0,23.52,0,15.68,0,7.84,0,23.52,29.4,3.92,41.16,0,1.96,0,1.96,1.96,90.15,0,5.88,1.96,29.4,0,3.92,0,0,1.96,0,0,0,3.92,0,0,0,0,3.92,0,0
