stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,10,0,0,1,0,2,5,4
 24-34,0,0,0,3.28,0,0,0.82,1.64,0,14.78,0,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0.81,4.03,0,0,0,0,0,0,0.81
 48-58,0,0,0,3.44,0.57,0,0,0.57,0,4.02,0.57,0,0,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,0,0.98,0,8.83,0,0,0,0,0,0,0
 72-82,0,0.98,0,5.89,0,0.98,0,1.96,0,3.93,0,0.98,0,0.98,0,0,2.94
 84-94,0,1.06,0,2.12,0,0,0,1.06,0,5.31,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,6.89,0,0,0,0.77,0,0,0
120,0,1.96,0,0,0,0,0,0,1.96,11.76,0,0,0,0,0,0,1.96
