stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,36.78,306.48,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,73.56,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,2.63,0,5.26,0,0,0,113.03,13.14,0,47.32,34.17,2.63,0,0,0,0
 10-12,0,9.44,15.73,0,6.29,31.47,0,9.44,0,0,0,270.64,6.29,0,72.38,15.73,6.29,3.15,9.44,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0,0,0,0.82,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,7.25,0,0,0,1.61,0,0,0,1.61,0
 48-58,0,0,0,0,0,1.15,1.15,0,0,0,0.57,5.16,0,0,0,1.72,0,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,2.94,0.98,0,0.98,0,1.96,4.91,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,1.53,3.83,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,3.92,3.92,0,0,0,1.96,0,0,0,0,0
