stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,1,0
 24-34,0,0,2.46,3.28,0,0.82,0,0.82,0,0,0,0,0,0.82,0.82,0,1.64,16.42,2.46,0.82,0,0,1.64,3.28,10.67,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0.81,0,0,33.84,5.64,0,0,0,0,6.45,6.45,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0,1.15,0.57,0,0,32.13,1.72,0,0,0,0,2.3,1.72,0
 60-70,0,0,0,0,0,19.63,0.98,2.94,0,0.98,0,0,0,0.98,0,0,0,75.58,0.98,0,0,0,0,3.93,2.94,0.98
 72-82,0,0,0,0,0,34.36,0.98,5.89,0,0,3.93,0,0,4.91,0,0,0,117.8,2.94,0,0,0,0,0.98,8.83,0
 84-94,0,0,0,2.12,0,20.18,1.06,5.31,0,0,4.25,0,1.06,3.19,0,0,0,69.03,0,1.06,0,0,0,1.06,4.25,0
 96-106,0,0,0,1.09,0,22.95,1.09,4.37,0,0,3.28,0,0,4.37,0,0,0,54.64,3.28,0,3.28,0,0,3.28,5.46,0
108-118,0,0,0.77,2.3,0.77,15.32,0,5.36,0,0,9.19,0,0,3.83,0,0,0,70.47,0.77,0,0.77,0,0,1.53,6.13,0
120,0,0,0,0,0,5.88,0,0,0,0,13.72,0,0,5.88,0,1.96,0,76.43,3.92,0,0,0,0,5.88,1.96,1.96
