stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0,0,0,0,0,0,8.03,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0.98,9.82,0,0,0,0,0,0,2.94,10.8,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,4.91,23.56,0,0,0,0,0,3.93,4.91,17.67,0.98,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,6.37,36.11,1.06,0,0,0,0,0,4.25,11.68,0,0,1.06,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,9.84,51.36,0,2.19,1.09,1.09,0,2.19,10.93,18.58,5.46,1.09,2.19,0,0,3.28,0,2.19,1.09
108-118,0,0,0,0.77,2.3,35.23,0,0,0,0.77,0.77,3.83,4.6,6.13,3.06,0,2.3,0,0,0.77,0,0,0.77
120,0,0,3.92,0,1.96,27.44,0,0,0,0,0,1.96,1.96,7.84,0,0,0,0,0,0,0,1.96,0
