stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,32.01,0.82,0,0.82,0,13.95,0,0,0,0,0.82,0,7.39,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,12.89,1.61,1.61,0,0,33.03,0,0,0,0.81,0,0,8.86,0,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,17.79,3.44,2.3,0,1.72,13.2,0,0,0,0.57,0,0.57,6.31,0,0,0,0,0,0.57,0,2.3,0,0
 60-70,0,0,19.63,3.93,1.96,0,0,25.52,0,0.98,0.98,0.98,0,0,11.78,0,0,0.98,0,0.98,0,0,2.94,0,0
 72-82,0,0,10.8,2.94,3.93,0,0.98,13.74,0.98,0,0,1.96,1.96,0,4.91,0,0.98,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,32.92,1.06,4.25,0,1.06,12.74,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,53.55,4.37,3.28,0,2.19,34.97,0,0,0,0,0,0,6.56,0,1.09,1.09,0,0,0,0,2.19,1.09,0
108-118,0,0,28.34,0.77,3.06,0,0,29.87,1.53,0,0,0,0,0,6.89,0,0,0,0,0.77,0.77,0,0,0,0.77
120,0,0,37.24,0,3.92,0,0,33.32,0,0,0,0,1.96,0,9.8,1.96,0,0,0,0,0,0,0,0,0
