stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,28,0,0,0,0,0,0,0,13,0,0,3,19,0,0,0,0
 24-34,0,0.82,12.31,0.82,0,4.1,0,1.64,0,1.64,0,0,1.64,0,0,0.82,0,8.21,0,0,5.75,41.86,0,0,0,0,0,0,0,0.82,0,0,1.64,11.49,0,0,4.1,0
 36-46,0,0,15.31,0,0,2.42,0,1.61,0.81,8.06,0,0,0,0,0,0,0,6.45,0,0,4.03,14.5,0,0,0,0,0,0,0.81,0,0,0,0,11.28,0,0,0.81,0
 48-58,0,0,9.75,0,0,5.16,1.15,2.3,0.57,30.99,0,1.15,1.15,0.57,0,0,0,6.89,0,1.15,2.87,21.8,0.57,0.57,0.57,0,0,0,0,0,0,0.57,0,6.31,0,0.57,5.16,0
 60-70,0,0,18.65,0,0,1.96,0.98,3.93,0,78.52,0.98,0,1.96,0,0,0,0,13.74,0,0,2.94,25.52,0,0,1.96,0,0,0,0,0,0,0.98,0,6.87,0,0,9.82,0.98
 72-82,0,0,7.85,0.98,0,7.85,0.98,3.93,0,149.21,1.96,0,0.98,0.98,0.98,0,0,19.63,1.96,1.96,3.93,57.92,0,0,0,0,1.96,1.96,0,0,0,1.96,0,6.87,0,0,19.63,0
 84-94,0,0,36.11,0,0,8.5,2.12,7.43,2.12,80.71,2.12,0,3.19,1.06,0,0,0,14.87,0,0,2.12,42.48,0,1.06,4.25,0,0,2.12,0,0,0,1.06,0,3.19,0,0,9.56,0
 96-106,0,0,17.49,0,0,9.84,2.19,7.65,4.37,80.87,1.09,2.19,2.19,0,0,0,1.09,20.76,0,1.09,9.84,30.6,0,1.09,5.46,0,0,1.09,0,0,0,0,0,1.09,1.09,0,26.23,1.09
108-118,0,0,18.38,0,0.77,0,6.89,5.36,1.53,64.34,3.06,1.53,2.3,0,0,0,0.77,19.92,0,0,5.36,37.53,0.77,1.53,4.6,0,0,0,0,0,0,1.53,0,1.53,0.77,0,12.26,1.53
120,0,0,41.16,0,0,5.88,1.96,7.84,1.96,80.35,3.92,1.96,11.76,3.92,0,0,0,9.8,1.96,0,0,48.99,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,17.64,0
