stage,epidermis,eye,fast_muscle,fin_epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,xanthophores
 14-21,2,0,0,0,0,0,0,12,7,1,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,19.7,3.28,0.82,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,10.47,1.61,0.81,15.31,0,0,0
 48-58,0.57,0,0.57,0,0,0,0,8.03,1.15,0,16.07,0,0.57,0.57
 60-70,0,0.98,0,0.98,0,0,0.98,4.91,0,0.98,49.08,0,0,0
 72-82,0.98,1.96,0,0.98,0.98,0,0,2.94,0,0.98,40.25,0,0,0
 84-94,1.06,0,0,1.06,5.31,2.12,0,2.12,0,1.06,61.6,0,0,0
 96-106,4.37,0,0,1.09,4.37,0,0,0,0,2.19,42.62,1.09,0,0
108-118,3.06,0,0,0.77,0.77,0,0,0.77,0,1.53,45.19,0,0,0
120,3.92,0,0,0,3.92,1.96,0,0,0,0,111.71,0,0,0
