stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,5060.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0
  5-6,183.89,2415.08,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,79.69,0,0,0,18.39,55.17,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,7.89,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,357.5,13.14,0,0,78.86,2.63,13.14,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,9.44,0,0,31.47,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,4,1,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,491,2,0,0,0,2,2,4,0,2,281,0,0,0
 24-34,0,0,0,0,3.28,0,7.39,0,0,27.91,0.82,0,0.82,0,0,0,0.82,0,5.75,0,1.64,590.2,0,1.64,0,0,1.64,0.82,0,0,0,237.23,0.82,0,0
 36-46,0,0,0,0,0,0,8.06,0,0,34.64,0,0,0,0,0,0.81,0.81,0.81,0.81,0,0.81,318.24,1.61,0.81,0.81,0,0,2.42,0,0.81,0,244.12,0,0,0.81
 48-58,0,0,0,0,0.57,0,10.33,0,0,37.3,0,0,0.57,0.57,0,0,0,0,2.87,0,0,104.43,0,0,0,0,0.57,0.57,0,0,0,101.56,0,0,0
 60-70,0,0,0,0,1.96,0,7.85,0,0,25.52,0,0,0,0,0.98,0,0,0,2.94,0,0,38.28,0,0,1.96,0,0,0,0,0,0,25.52,0,0,0
 72-82,0,0,0,0,0.98,0,8.83,0.98,0.98,31.41,0,0,0,0,0,0,0,0,1.96,0,0.98,41.23,0,0,2.94,0,0,0.98,0,0,0,6.87,0.98,0.98,0
 84-94,0,0,1.06,0,1.06,0,11.68,0,0,26.55,0,0,0,0,3.19,0,0,0,0,0,0,36.11,0,0,1.06,0,0,0,0,0,0,10.62,0,0,0
 96-106,0,0,0,0,2.19,1.09,15.3,0,0,28.41,0,0,0,0,2.19,0,0,0,3.28,1.09,0,32.79,0,1.09,2.19,0,1.09,2.19,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,3.06,0,9.96,0,0,25.28,0.77,0,0,0,0,0,0,0,0,0,0.77,38.3,0,0,3.06,0,0,2.3,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,13.72,0,0,35.28,0,0,0,0,0,0,0,0,0,0,0,45.08,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0
