stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,26.29,2.63,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0
 24-34,0,0,0,0,0,0,0,0.82,9.85,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,15.31,0,0,0,0,1.61,0
 48-58,0,0,0,1.15,4.59,0,0,0,13.2,0,0,0,0,1.15,0.57
 60-70,0,0,0,0,3.93,0,0,0.98,9.82,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,6.87,0,0,0,4.91,0,0,0,0,2.94,0
 84-94,0,0,0,3.19,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,1.96,0,3.92,0,0,0,0,0,0
