stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,137,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,10,3,0,0,0,3,1,5,0,0,2,2,0,0,116,0,0
 24-34,0,0.82,0,0,1.64,19.7,0,3.28,0,0,0,0,0,18.88,0,0.82,0,0,3.28,0,0,1.64,20.52,3.28,0,0,0,22.98,0,0,0.82,0,3.28,4.93,0,0,400.58,0,0
 36-46,0,0,0,0,0.81,0.81,0,2.42,0,0,0,0,0,16.92,0,0,0,0,1.61,0.81,0,1.61,27.39,2.42,0,0,0,47.53,0,0,0,0,0,5.64,0,0,265.87,0,0
 48-58,0,0,0,0,0,0,0,3.44,0,0,0.57,2.87,0,27.54,1.15,1.15,0,0,1.72,0,0,0.57,13.77,0,0.57,0,0,15.49,0,0,0,0,0,4.59,0,0,218.62,0,0
 60-70,0,0,0,0,0,0.98,0,5.89,0,0,0,1.96,0,23.56,1.96,1.96,0,0,3.93,0,0,0,10.8,0,0,0,0.98,29.45,0,0,0,0,0,3.93,0,0,180.6,0,0
 72-82,0,0,0.98,0.98,5.89,0.98,0,8.83,0,1.96,1.96,1.96,0.98,37.3,0.98,0.98,0.98,0,10.8,0,0,0,11.78,0,0.98,0,0,22.58,0,0,0,0,0,0.98,1.96,0.98,370.09,0,0.98
 84-94,0,0,1.06,0,12.74,0,0,5.31,0,0,1.06,1.06,1.06,22.3,2.12,1.06,0,0,13.81,0,0,0,6.37,0,1.06,0,0,28.68,0,0,0,0,0,0,5.31,1.06,331.36,0,0
 96-106,0,0,5.46,0,44.81,3.28,0,9.84,1.09,2.19,2.19,1.09,2.19,51.36,2.19,4.37,0,0,18.58,0,0,0,12.02,1.09,1.09,0,0,27.32,1.09,0,2.19,0,0,0,10.93,0,439.32,2.19,0
108-118,0.77,0,5.36,0,16.85,2.3,1.53,5.36,0,2.3,0,2.3,6.13,21.45,1.53,0.77,0.77,0.77,12.26,0,0.77,0.77,6.89,0,1.53,0,0,29.87,0,0,1.53,0.77,0,0,14.55,0,324,0,0
120,0,0,0,0,17.64,0,0,1.96,0,1.96,1.96,0,1.96,29.4,1.96,0,0,0,7.84,3.92,0,0,17.64,0,0,0,0,21.56,0,0,0,0,0,1.96,3.92,0,333.16,0,0
