stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.63,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,15.77,2.63,0,0,0,49.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,18,0,0,0,0,0,0,0,1,0,1,3,0,0,1,1,0,3,7,0,1,3,156,1,4,0,2,0,0,0,0,0
 24-34,0,0,1.64,11.49,0,0,2.46,0,1.64,0,0.82,2.46,0,1.64,19.7,2.46,0,3.28,4.93,0,20.52,1.64,4.1,1.64,0,447.37,0,4.1,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0.81,0.81,0.81,1.61,2.42,13.7,3.22,0,0.81,3.22,0,14.5,1.61,7.25,2.42,0,451.98,0,3.22,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,5.16,1.15,0,8.03,0,2.87,0,1.15,1.15,5.74,2.3,4.59,1.15,1.15,2.87,5.16,0.57,20.08,0,3.44,2.87,0,374.12,0,1.15,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,14.72,0,0,6.87,0,10.8,0,0,0.98,0.98,6.87,4.91,8.83,0,2.94,4.91,0.98,17.67,0,14.72,0.98,0,394.57,0,3.93,0,1.96,0.98,0,0,0,0
 72-82,0,0.98,0,26.5,0.98,0,11.78,0.98,3.93,0.98,3.93,2.94,5.89,2.94,17.67,20.61,0,3.93,7.85,0.98,14.72,0.98,15.71,5.89,0,527.15,0,1.96,0.98,0.98,0.98,0,1.96,0,0
 84-94,0,0,0,38.23,0,0,1.06,0,15.93,1.06,0,6.37,8.5,10.62,35.05,14.87,0,6.37,8.5,1.06,10.62,0,19.12,6.37,0,1169.3,0,10.62,0,1.06,2.12,0,0,0,0
 96-106,0,0,0,110.38,0,2.19,13.11,1.09,30.6,0,4.37,16.39,1.09,9.84,55.74,31.69,1.09,3.28,21.86,1.09,27.32,0,33.88,6.56,0,1460.04,0,12.02,1.09,0,6.56,0,1.09,0,0
108-118,0,0,0,128.68,0.77,0,5.36,1.53,49.79,0,3.83,16.09,0,13.79,68.94,19.15,0.77,5.36,31.4,0,13.02,0,16.09,3.83,0,1259.24,0,7.66,0,0.77,15.32,0.77,1.53,0.77,0.77
120,0,0,0,109.75,1.96,0,7.84,0,50.95,0,1.96,13.72,1.96,9.8,41.16,13.72,1.96,7.84,13.72,0,19.6,1.96,35.28,9.8,0,881.9,0,3.92,0,0,0,0,1.96,0,0
