stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,24.52,582.32,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,13.14,0,0,0,0,5.26,0,0,0,155.09,7.89,0,81.49,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,8.21,0,0,0,10.67,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,1.61,0,3.22,0.81,0,0,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,1.15,0,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,0,0,2.94,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,4.25,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,3.28,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0.77,0,0,0,0.77,3.06,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
