stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0,1.64,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0.57,0.57,0,0.57,2.87,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,30.43,0.98,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0.98,0,68.72,0,0,0,0,0,0,0,0,2.94,0,0,10.8,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,53.1,0,0,4.25,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,68.85,0,1.09,1.09,0,1.09,0,1.09,0,2.19,1.09,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,42.89,0,0,1.53,0,0,0,0,0,1.53,0,0,6.13,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,66.63,0,0,1.96,0,0,1.96,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0,0
