stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,12,0,0,0,0,0,0,1,95,0,0,0,0,0
 24-34,0,0,9.03,0,1.64,0.82,0,10.67,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,2.46,0,0,2.46,763.4,0.82,83.73,0,0,1.64,0,0.82,0,0.82,284.02,0,0,1.64,0,0
 36-46,0,0,12.09,0,2.42,0.81,0,16.11,1.61,0.81,0,2.42,0,0,0,0.81,0,0,0.81,1.61,4.83,0,0,0.81,1756.36,0,110.38,2.42,0,1.61,0,0,0,0,399.61,0,0,0.81,0,0
 48-58,0.57,0,6.31,0,4.02,0.57,0,80.91,0,1.15,0,11.48,0,0,0,0.57,0,0.57,0.57,0.57,14.35,0.57,0.57,1.15,2186.2,0.57,69.43,0,0,1.72,0,0,0.57,0,301.82,0,0,1.72,0,0.57
 60-70,0,0,5.89,0,5.89,0,0,245.38,0.98,0,1.96,43.19,0.98,0,3.93,0,0,0,0,0.98,23.56,0,0,3.93,3680.71,0.98,77.54,1.96,0,0.98,0,0,0.98,0,407.33,0,0,0.98,1.96,4.91
 72-82,0,0,10.8,0,17.67,0,0,408.37,0,1.96,3.93,76.57,2.94,0.98,2.94,0,0,0,0,0,54.97,0,1.96,0.98,3640,0,146.27,0.98,0,4.91,0,0.98,0,0,237.56,2.94,0.98,4.91,1.96,0.98
 84-94,0,0,13.81,0,39.3,6.37,0,364.28,0,1.06,1.06,55.23,2.12,0,2.12,0,2.12,1.06,0,0,30.8,0,0,3.19,1967.96,1.06,161.43,2.12,0,6.37,0,0,0,0,131.69,2.12,5.31,3.19,2.12,0
 96-106,0,0,14.21,0,40.44,4.37,1.09,347.53,6.56,2.19,1.09,75.41,6.56,0,6.56,1.09,0,2.19,4.37,0,38.25,1.09,2.19,2.19,1925.6,0,256.82,0,0,9.84,1.09,0,0,0,86.33,1.09,0,2.19,1.09,1.09
108-118,0,0,10.72,0,30.64,3.83,0,284.94,0,3.06,0,57.45,3.83,0,3.06,1.53,2.3,0.77,3.83,1.53,30.64,0.77,0.77,0.77,2313.97,0.77,159.32,3.06,0.77,6.13,0,0,0,0,61.28,3.06,0.77,3.06,1.53,1.53
120,0,0,11.76,0,25.48,7.84,1.96,235.17,0,1.96,3.92,41.16,3.92,1.96,1.96,0,1.96,0,1.96,1.96,33.32,0,0,0,2406.62,0,119.55,0,1.96,3.92,0,0,0,0,62.71,0,0,3.92,1.96,0
