stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,28.32,0,6.29,3.15,3.15,0,0,0
 14-21,0,4,11,1,0,1,0,0,4,1,0,0,1,0,0,1,7,1,0,5,74,0,2,0
 24-34,0,2.46,11.49,0,0,0,0,0.82,0.82,2.46,2.46,0.82,1.64,3.28,0,0.82,6.57,0,0,0.82,70.59,0,4.1,0
 36-46,0,0,0.81,0,0,2.42,0,0.81,1.61,0,0,0,0.81,1.61,0,0,7.25,0,0,0,43.51,0.81,1.61,0
 48-58,0,0,2.3,0.57,0,5.16,0,0.57,0.57,0.57,0,0,0,0,0.57,0.57,3.44,0,0,0,21.8,0,2.3,0
 60-70,0,0,0.98,0,0,3.93,0,0.98,0.98,0,0,0,0.98,0,0,0,7.85,0,0,0,17.67,0,0,0
 72-82,0,0,0,0,0,4.91,0.98,0.98,3.93,0,0,0,0.98,0,0,0.98,1.96,0.98,0,0,20.61,0,0.98,0
 84-94,0,0,0,0,0,3.19,0,0,5.31,0,0,1.06,1.06,0,0,0,1.06,0,0,0,39.3,0,0,1.06
 96-106,0,0,1.09,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,27.32,0,0,0
108-118,0,0,0,0,0,1.53,0,0,3.83,0,0,0,0,0,0,0,3.06,0,0,0,24.51,0,0,0
120,0,1.96,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0,1.96,0,0,0,15.68,0,0,0
