stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,30,2,2,0,0,0,0,5,18,0
 24-34,0,0,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,64.03,0,1.64,0.82,0,0.82,0.82,0,13.95,0
 36-46,0,0,0,0,0,8.06,0,0,1.61,0.81,0,0.81,1.61,0,1.61,58.81,0,0,0,0,0,0,0,8.86,0
 48-58,0,0,0,0.57,0,24.1,0,0,4.59,0,0,0,6.31,0,1.15,54.51,0,0.57,0,0,0,0,0,6.89,0.57
 60-70,0,0,0,0,0,37.3,0,0,4.91,0,0.98,0,6.87,0,0,42.21,0,0.98,0,0,0,0,0,1.96,1.96
 72-82,0,0,0,0,2.94,19.63,0,0,10.8,0,0,0.98,9.82,0,1.96,43.19,0,2.94,0,0,0.98,0,0,1.96,0
 84-94,0,0,0,1.06,0,14.87,0,0,6.37,0,0,0,6.37,0,4.25,26.55,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,3.28,12.02,1.09,0,10.93,2.19,0,0,12.02,0,2.19,21.86,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,5.36,0,0,6.13,0,0,0,1.53,0.77,0.77,24.51,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
