stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,97.56,9.44,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,3,0,0,3,19,8,2,0,0,0,1,2,1,2,2,5,21,0,0,0,0,1
 24-34,0,0,0.82,0,4.1,0,0,0.82,0,1.64,0,0,0,0,0,3.28,0.82,0,0,0,1.64,0,0,8.21,33.66,0.82,9.85,3.28,0,0,0.82,0,0,13.13,0,0.82,9.85,0,0,0,0,13.95
 36-46,0,0,0,0,2.42,0,0,1.61,0.81,0,0,1.61,0,0,0,5.64,0,0.81,1.61,0.81,8.86,0.81,0,4.03,20.14,0.81,7.25,1.61,0,0,0,1.61,0,12.09,0.81,0,8.06,0,0,0,0,11.28
 48-58,0,0,0,0,4.02,0,0,10.9,0,0,0.57,14.92,0,0,0.57,5.74,0.57,1.72,0,0,17.21,0,0,2.87,24.67,0,9.18,4.59,0,0,6.89,0,0,8.61,0.57,0,2.87,0,0,1.72,0,5.74
 60-70,0,0,0,0,2.94,0,0,16.69,0.98,0,0.98,19.63,0.98,0.98,0,5.89,0,2.94,1.96,0,45.15,0,0.98,2.94,18.65,0,7.85,6.87,0,0.98,20.61,0,0,7.85,1.96,0,12.76,0,0,0.98,0,4.91
 72-82,0,0,0,0.98,2.94,0,0,26.5,0.98,0.98,2.94,28.47,0.98,0,0.98,7.85,0.98,3.93,2.94,0,94.24,0,0.98,13.74,35.34,0,19.63,23.56,0,0.98,27.49,0,0,16.69,0.98,0,8.83,0.98,0,5.89,2.94,8.83
 84-94,0,0,0,0,6.37,1.06,0,21.24,1.06,1.06,8.5,26.55,0,0,0,19.12,1.06,20.18,2.12,2.12,47.79,0,0,5.31,14.87,0,14.87,23.36,0,0,76.47,0,0,27.61,0,0,6.37,1.06,1.06,2.12,2.12,5.31
 96-106,0,0,1.09,0,6.56,2.19,0,30.6,1.09,2.19,5.46,26.23,3.28,0,1.09,20.76,10.93,14.21,7.65,2.19,57.92,3.28,1.09,7.65,21.86,0,21.86,29.51,0,4.37,71.04,1.09,0,30.6,0,0,4.37,0,0,2.19,5.46,7.65
108-118,0,0,0,0.77,9.96,0,0.77,19.15,3.83,3.83,2.3,14.55,3.06,0,0.77,12.26,3.06,34.47,6.13,8.43,54.38,0,1.53,9.19,29.87,0,15.32,22.21,0,0.77,64.34,0,0,15.32,0.77,0,3.83,0.77,0,1.53,0.77,10.72
120,1.96,0,0,1.96,7.84,0,1.96,25.48,3.92,1.96,1.96,27.44,7.84,0,1.96,13.72,7.84,9.8,7.84,13.72,45.08,0,1.96,3.92,41.16,0,21.56,11.76,0,0,92.11,0,0,19.6,0,0,0,0,0,3.92,0,3.92
