stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1871.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,919.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,34.17,0,60.46,0,0,0,115.66,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,964.74,26.29,0,0,333.85,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,62.94,0,12.59,0,100.7,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,1035.35,6.29,0,0,324.14,0,0,22.03,3.15,34.62,0,9.44,3.15,0,0,0,0
 14-21,0,0,0,6,36,7,0,20,0,0,6,1,1,0,0,2,0,0,0,0,32,0,21,404,4,0,1,9,0,6,1,43,1,0,22,108,0,1,0,0
 24-34,0,0,0,0.82,11.49,1.64,0,90.29,0,1.64,13.13,0.82,0,0.82,2.46,0.82,0,0.82,0,0.82,67.31,2.46,21.34,630.42,0,5.75,5.75,0,0,9.03,0,0,2.46,0.82,6.57,137.9,0,4.93,0,2.46
 36-46,0,0,0,0.81,8.06,0.81,0,206.25,0,0.81,15.31,0,0,0,0,0,0,0.81,0,0,53.17,0.81,21.75,456.01,0.81,3.22,4.03,0,0,7.25,0.81,0,0,0,0,98.29,0,3.22,0,2.42
 48-58,0,0,0,0.57,8.03,0.57,0,261.08,1.15,0.57,19.51,1.15,0,0,0.57,0.57,0,0,1.15,0,57.38,4.02,11.48,228.37,0.57,1.72,1.72,0,0,3.44,0,0,0,0,0,33.85,0,5.16,0,1.15
 60-70,0,0,0,0,10.8,0,0,186.49,0,0.98,25.52,2.94,0,0,0,0.98,0,0,3.93,0,64.78,0.98,6.87,166.86,0,0,0.98,0,0,0.98,0,0,0,0.98,0,15.7,0,1.96,0,0
 72-82,0,0,0,0,6.87,0.98,0,75.59,0,2.94,25.52,3.93,0,1.96,3.93,0,0,0.98,0,0,51.05,1.96,5.89,144.3,0,0,3.93,0,0.98,2.94,0,0,0.98,0,0,12.76,0.98,0.98,0.98,0
 84-94,0,0,0,0,8.5,4.25,0,62.66,0,0,22.3,4.25,0,0,2.12,1.06,2.12,0,0,1.06,44.61,5.31,12.74,93.46,1.06,1.06,1.06,0,0,1.06,0,0,1.06,0,0,7.43,0,1.06,2.12,0
 96-106,0,0,1.09,0,9.84,0,0,48.09,0,1.09,21.86,0,0,1.09,1.09,1.09,0,2.19,1.09,0,50.27,0,2.19,64.48,0,1.09,8.74,0,0,3.28,0,0,0,0,0,5.46,0,2.19,1.09,1.09
108-118,0,0,0,0,7.66,0.77,0.77,36.77,0.77,3.83,17.62,0.77,0,0,3.06,0,2.3,0,0,0.77,21.45,1.53,1.53,79.66,0,1.53,2.3,0,0,0.77,0,0,0.77,0,0,1.53,0,4.6,0.77,0.77
120,0,0,0,0,5.88,5.88,0,50.95,0,0,11.76,3.92,0,0,5.88,0,0,0,0,0,35.28,0,5.88,101.91,0,1.96,3.92,0,0,1.96,0,0,0,0,0,3.92,0,3.92,1.96,0
