stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,7.89,0,0,36.8,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,286.53,23.66,0,0,89.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,3.15,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,270.64,6.29,0,0,81.82,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,5,0,8,9,0,0,1,0,0
 24-34,0,0,0.82,0.82,4.93,0,18.06,0,0.82,0,0.82,0,0,0,0.82,1.64,0.82,0,0,11.49,0,0,4.93,107.53,0,1.64,0.82,0,5.75,0,0,1.64,22.16,0,0,3.28,0,0
 36-46,0,0,0,0,2.42,1.61,17.72,0,0.81,0.81,2.42,0,0,0,0.81,0,0.81,0,0.81,12.09,0.81,0,3.22,70.9,0,0,0.81,0,4.03,0,0,0,20.95,0,0,2.42,0,0
 48-58,0,0,0,0,1.72,0,27.54,0.57,0.57,0.57,4.02,0,0,0.57,0,0,0,1.15,0,8.03,0,0,1.72,75.74,0,0.57,0.57,0,0.57,0,0,0,13.77,0,0,0.57,0,0
 60-70,0,0,0.98,0,2.94,0.98,25.52,0,0,0.98,9.82,0,0,1.96,0,0,0,0.98,0,12.76,1.96,0,0.98,84.41,0,0,0.98,0,0.98,0,0.98,0,10.8,0.98,0,1.96,0,0.98
 72-82,0,0,0,0,2.94,0.98,22.58,0,0.98,0,12.76,0,0,0,0,0,0,0,0,24.54,0,0,0,55.95,0,0.98,0,0,4.91,0,0,0,4.91,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,4.25,2.12,12.74,0,0,0,8.5,2.12,0,0,1.06,1.06,0,0,0,15.93,0,0,4.25,19.12,1.06,0,0,0,2.12,0,0,0,5.31,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,2.19,12.02,0,2.19,0,6.56,0,0,0,1.09,0,0,0,0,14.21,0,0,1.09,14.21,0,0,0,0,2.19,0,0,0,3.28,0,0,1.09,0,0
108-118,0,0,0,0,5.36,1.53,9.96,0,0,1.53,6.89,0,0,0,1.53,0.77,0,0,0,15.32,0.77,0,0,32.17,0,1.53,0,0,0.77,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,0,9.8,5.88,23.52,0,1.96,0,11.76,1.96,0,0,1.96,0,1.96,0,0,5.88,1.96,1.96,0,52.91,5.88,0,1.96,0,9.8,0,0,0,1.96,1.96,0,5.88,1.96,0
