stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,1,0,3,0,0,0,136,0,0,0,1,1,0,0,0,0,8,0,8,125,1,0,0,0,0,0,12,1,3,29,358,0,0,0,0,0
 24-34,0,0.82,5.75,0,0,14.78,0,0.82,0.82,159.25,0.82,0.82,1.64,0,0.82,0.82,0.82,0,0,52.53,0,24.63,211.78,2.46,0,0.82,0,0,0.82,0,0,0.82,4.1,624.67,0,0,0.82,0,0
 36-46,0,0.81,1.61,0.81,0,7.25,0,1.61,4.83,107.96,0,0.81,0.81,0,0,0,0,0,0,64.45,0.81,12.89,120.04,0.81,0.81,0,0,0.81,0,0,0,0,0,518.85,0,0,0,0,0
 48-58,0,0,1.15,0,0,12.62,1.72,3.44,9.75,95.83,0,0,1.15,0,0,0,0,0,0.57,78.61,2.3,10.33,66.56,2.3,1.15,0,0,0.57,0.57,0,0,0,0,320.76,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,0,9.82,0,15.7,15.7,106.99,0,0,0,0,0,0,0,0,0,131.52,0,9.82,23.56,0.98,0,0.98,0,0.98,1.96,0,0.98,0,0,110.91,0,0.98,0.98,0.98,0
 72-82,0,0,3.93,4.91,0,16.69,0.98,1.96,18.65,155.1,0,0,1.96,0,0,0,0,0,0,277.81,3.93,15.71,29.45,2.94,0,0.98,0,2.94,0.98,0,0.98,0,0,22.58,0,3.93,1.96,1.96,0.98
 84-94,0,0,5.31,0,0,23.36,0,18.05,10.62,86.03,0,0,1.06,1.06,0,0,0,1.06,1.06,234.71,5.31,7.43,13.81,3.19,0,0,0,1.06,1.06,0,2.12,0,0,33.99,0,5.31,2.12,0,0
 96-106,0,0,3.28,0,1.09,13.11,0,17.49,9.84,80.87,0,0,1.09,1.09,0,0,2.19,0,0,165.02,4.37,9.84,14.21,1.09,1.09,2.19,0,0,1.09,0,0,1.09,0,12.02,0,3.28,2.19,4.37,0
108-118,0,0,3.06,0.77,0,12.26,0.77,42.13,8.43,64.34,0.77,0,3.83,0,0,0.77,0.77,0,0,126.38,5.36,10.72,16.85,3.06,0,0.77,0,6.13,0,0,3.83,0,0,12.26,0.77,2.3,1.53,2.3,0.77
120,0,0,9.8,0,0,23.52,0,23.52,3.92,43.12,0,0,0,5.88,1.96,0,0,0,0,111.71,3.92,9.8,9.8,1.96,0,0,0,1.96,0,0,0,0,0,5.88,0,0,0,5.88,0
