stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0
 24-34,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,48.2,0,0,2.3,6.31,0,0,0,0,0,0,1.15,0.57,0,2.87,0,0,0,0
 60-70,0,0,0,40.24,0,0,1.96,9.82,0.98,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0.98,0
 72-82,0,0,0,73.62,0,0,0.98,9.82,1.96,0,0.98,0,0,0,1.96,1.96,0,4.91,0,0,0,0.98
 84-94,0,0,0,129.57,0,0,0,40.36,1.06,0,0,0,0,0,0,1.06,0,6.37,0,0,1.06,0
 96-106,0,1.09,0,394.52,1.09,1.09,7.65,64.48,2.19,1.09,0,1.09,0,1.09,1.09,3.28,0,8.74,2.19,0,0,2.19
108-118,0,0,0,353.11,1.53,0,0.77,88.85,0,0,0,0,0,0,2.3,1.53,2.3,6.13,0,0.77,0,0
120,0,0,0,278.29,0,0,1.96,62.71,0,0,0,0,0,0,0,3.92,0,7.84,3.92,0,0,0
