stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8,41,11,33,0,0,6,4,1,0,0,0,0,2,1,38,0,0,27,325,9,1,4,9,5,1,54,1,1,60,125,0,0,7,0,0
 24-34,0.82,0,0.82,3.28,0,20.52,0,0.82,2.46,0,1.64,0,0.82,0,0.82,0,0,9.85,0,0,5.75,100.14,0.82,0.82,0.82,0,7.39,0,0,0,0,1.64,27.91,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,19.34,0.81,0,5.64,0.81,0.81,0,0,0.81,0,0,0,9.67,0,0,4.83,87.82,0,1.61,0.81,0,5.64,0,0,0,0,0,20.95,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,12.62,0.57,1.15,8.61,0,0,0,0,0,0.57,0,0,6.31,0,0.57,1.72,70,0,1.72,0,0,1.72,0,0,0,0,0,9.75,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,42.21,1.96,0,11.78,0,0,0.98,0,0,0,0,0,13.74,0,0,1.96,134.47,0,1.96,0,0,6.87,0,0,0,0,0,9.82,0,0,0,0,0
 72-82,0,0,0,2.94,0,45.16,0.98,0,8.83,0.98,0,0,0,0,0,0,0,20.61,0.98,0.98,2.94,119.76,0,0.98,0,0,11.78,0,0,0,0,0,16.69,0,0,0.98,0.98,0
 84-94,0,0,0,2.12,1.06,26.55,1.06,0,5.31,0,0,0,0,0,0,0,0,13.81,0,1.06,3.19,64.78,0,0,1.06,0,16.99,0,0,1.06,0,0,2.12,0,1.06,0,2.12,0
 96-106,0,1.09,0,2.19,2.19,31.69,0,0,14.21,1.09,0,1.09,0,1.09,0,1.09,0,15.3,1.09,2.19,3.28,71.04,0,2.19,2.19,0,29.51,0,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0.77,0,1.53,0,22.98,2.3,0.77,13.79,0,0,0.77,1.53,0.77,1.53,0,0,16.85,0,0.77,2.3,107.23,0,0.77,1.53,0,17.62,0,0,0.77,0,0,3.06,0,0,1.53,0.77,0
120,0,0,0,0,1.96,23.52,0,1.96,3.92,0,0,1.96,0,0,0,0,0,11.76,0,0,1.96,62.71,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0
