stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,18.4,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,31.47,0,3.15,66.09,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,528.69,0,0,0,144.76,0,0,3.15,6.29,15.73,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,0,40,14,29,0,1,0,3,0,0,1,0,1,1,1,0,1,16,0,0,8,283,1,3,3,2,0,0,0,13,0,3,41,100,0,0,9,0,0
 24-34,0,0.82,0,0,29.55,3.28,88.65,0,5.75,0,6.57,0,0.82,2.46,0,4.93,0,4.1,0.82,1.64,19.7,2.46,0,11.49,914.43,2.46,2.46,13.13,0,0,0,0,0,0,4.93,4.1,191.26,0,0,36.94,0,1.64
 36-46,0,0,0,0,12.89,0,135.35,0.81,2.42,2.42,34.64,0,1.61,1.61,0,0.81,0,4.03,0,4.03,18.53,4.83,0,12.89,850.79,5.64,0.81,3.22,0,0,0.81,0,0,0,1.61,0,272.32,0,0,23.36,0,1.61
 48-58,0,0,0,0,8.03,0,195.67,1.72,4.02,2.87,47.63,0.57,0,0.57,0,0.57,0,5.16,0,2.3,22.95,3.44,0,6.89,266.25,0.57,1.15,5.16,0,0,0.57,0,0,0,2.3,0,111.32,0,0,14.35,0,2.3
 60-70,0,0,0,0,17.67,0,439.72,3.93,7.85,2.94,57.91,0,0,4.91,0,0.98,0,5.89,0,2.94,78.52,4.91,0.98,7.85,163.91,2.94,0.98,7.85,0,0,0.98,0,0,0.98,2.94,0,47.11,0.98,0,16.69,0,3.93
 72-82,0,0,0,0.98,10.8,0.98,133.51,1.96,6.87,0,44.17,0,0.98,2.94,0.98,0.98,1.96,5.89,0,1.96,58.9,2.94,1.96,6.87,116.82,0.98,0,7.85,0,0.98,1.96,0,0,0,0,0,10.8,0.98,0,36.32,0.98,0.98
 84-94,0,0,0,0,19.12,0,78.59,3.19,9.56,1.06,30.8,2.12,1.06,3.19,0,3.19,1.06,5.31,0,4.25,60.54,3.19,1.06,8.5,80.71,3.19,0,10.62,0,1.06,1.06,0,0,1.06,1.06,0,9.56,4.25,0,40.36,2.12,3.19
 96-106,0,0,0,0,15.3,0,42.62,1.09,5.46,3.28,40.44,2.19,2.19,2.19,2.19,0,0,2.19,1.09,5.46,34.97,7.65,1.09,3.28,84.15,0,3.28,7.65,0,0,2.19,0,0,0,0,0,6.56,2.19,0,21.86,1.09,4.37
108-118,0,0,0.77,0,17.62,0.77,38.3,1.53,9.19,3.06,24.51,3.06,0,0.77,0.77,5.36,0,6.89,0.77,3.06,26.81,0.77,3.06,3.06,81.96,3.83,2.3,6.13,0,0.77,3.83,0,0,0,0,0,3.06,6.13,0.77,17.62,3.06,7.66
120,0,0,0,0,29.4,0,33.32,0,7.84,0,29.4,1.96,0,3.92,0,1.96,0,5.88,0,0,19.6,1.96,1.96,5.88,96.03,5.88,3.92,7.84,0,0,5.88,0,0,0,0,0,1.96,1.96,0,17.64,0,0
