stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,0,0,0,1,2,0,1,0
 24-34,0,0,0,3.28,0,0,0,0.82,0,1.64,0,0,0,0,2.46,0,2.46,54.18,0.82,0,0,0,0.82,0,0,10.67,0,3.28,0
 36-46,0,0.81,0,8.86,0,0,0,3.22,0,0,0,0.81,0,0.81,8.06,0,0.81,63.65,0,0,0,0,0,0,0,16.11,0,2.42,0
 48-58,0,0,0,14.92,0,0,0.57,2.87,0,0,0.57,0,0,1.15,3.44,0,1.72,54.51,0.57,0,0,0,0,0,0,8.03,0,0,0.57
 60-70,0,0,0,18.65,0,0.98,0,3.93,0,0,0,0,0,0.98,8.83,0,0,57.91,0,0.98,0,0,3.93,0.98,0,5.89,0,0,0
 72-82,0,0,1.96,10.8,0,0,0,1.96,0,0,0,0,0,0,9.82,0,0.98,42.21,0.98,0,0,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,2.12,0,8.5,0,0,0,4.25,1.06,0,2.12,0,0,1.06,5.31,0,1.06,12.74,0,1.06,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,8.74,1.09,0,0,1.09,0,0,0,1.09,0,0,3.28,1.09,0,14.21,0,1.09,0,0,1.09,0,0,1.09,0,0,1.09
108-118,0,2.3,0,3.83,0,0,0,0.77,0,0,1.53,0,0,0,2.3,0,1.53,22.98,0,1.53,0,0.77,1.53,0,0,0,0.77,0,0
120,0,0,0,9.8,0,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96,1.96,27.44,0,1.96,0,0,0,0,0,0,0,3.92,0
