stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,23,1,0,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,720,1,1,13,1,0,1,0,3,0,0,2,366,0,0,0,0,0
 24-34,0,0,8.21,0.82,0,55.82,0,0,0.82,4.93,0,0.82,0,2.46,0,0,1.64,0,13.13,0,0,11.49,3020.75,1.64,6.57,5.75,0,0,4.1,0,0,0.82,1.64,1.64,664.89,0,0,0.82,0,0
 36-46,0,0,7.25,0,0,619.56,2.42,0.81,0.81,24.17,0,0.81,2.42,0.81,0,0,0,2.42,29.81,0,0,11.28,5921.67,1.61,5.64,2.42,0,0.81,9.67,0,0.81,0,0.81,0,1179.5,0,0.81,5.64,0,4.03
 48-58,0,0.57,23.53,2.3,0,2155.78,2.87,5.16,3.44,115.33,0,0.57,2.3,0,2.3,2.87,1.15,4.59,70.58,0,5.16,13.77,6118.48,1.15,5.74,1.72,0,0.57,12.05,0,0,0.57,1.15,0,1281.31,0,0.57,5.16,0.57,8.61
 60-70,0,0.98,12.76,4.91,0,3597.28,2.94,3.93,2.94,81.47,0.98,0,5.89,0,0.98,0.98,0.98,0,44.17,0,2.94,10.8,4850.68,0,3.93,3.93,0,0.98,8.83,0,0,1.96,0,0,831.35,0,1.96,2.94,0,0
 72-82,0,2.94,42.21,2.94,0,2997.01,2.94,5.89,7.85,114.85,3.93,3.93,4.91,2.94,3.93,1.96,0.98,0.98,90.31,1.96,3.93,9.82,3724.43,0,1.96,12.76,0,2.94,6.87,0,0,0.98,2.94,0,472.18,1.96,1.96,9.82,3.93,8.83
 84-94,0,1.06,81.78,1.06,0,1899.98,2.12,10.62,4.25,150.81,2.12,2.12,7.43,0,9.56,0,0,2.12,79.65,1.06,7.43,5.31,2111.33,1.06,3.19,11.68,0,1.06,11.68,0,0,2.12,2.12,0,307.99,2.12,5.31,6.37,7.43,5.31
 96-106,0,1.09,72.13,5.46,0,1362.78,4.37,3.28,2.19,108.19,3.28,8.74,7.65,3.28,0,2.19,1.09,0,68.85,1.09,3.28,8.74,1632.71,1.09,3.28,17.49,0,0,12.02,1.09,0,1.09,1.09,0,97.26,2.19,3.28,0,5.46,4.37
108-118,0,0,29.11,3.83,2.3,1121.37,1.53,1.53,0.77,68.17,3.83,1.53,7.66,2.3,0.77,0.77,0.77,0.77,42.13,0.77,2.3,3.83,2067.33,0,3.06,8.43,0,0.77,3.83,0,0,0.77,0,0,83.49,1.53,0.77,4.6,1.53,0
120,0,0,31.36,5.88,0,801.55,0,1.96,1.96,70.55,1.96,0,0,0,0,0,1.96,0,37.24,1.96,0,11.76,1561.95,0,3.92,3.92,0,0,7.84,0,0,1.96,0,0,33.32,0,0,1.96,0,0
