stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,1,0,1,1,1,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,7.39,0,0,0.82,0.82,0,0.82,0,0,0,0,0,10.67,0,0,1.64,45.15,0.82,0,0,0,0,0,0,0,4.93,0,0.82,7.39,0,0,0,0,0.82
 36-46,0,0,0,0.81,0.81,0,3.22,0.81,0,0,0,0,0,0,0,0.81,0,0,12.89,0,0,2.42,12.89,0,0,0,0,0,0,0,0,1.61,0,0,7.25,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,2.87,0,0.57,0,0,0,0,0,0,0,0,0.57,11.48,0,0.57,1.15,3.44,0.57,0,0,0,0,0.57,0,0,1.15,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0.98,3.93,0,0,0,0,0,0,0,0,18.65,0,1.96,0,4.91,0,0,0,0,0.98,10.8,0,0,1.96,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,2.94,0,0.98,0.98,2.94,2.94,0,0,0.98,0,0,0,0,0,26.5,0.98,0,0.98,6.87,0,0,0,0,0,4.91,0,0,0,0,0,0.98,15.71,0,2.94,1.96,0
 84-94,0,0,0,0,5.31,1.06,4.25,0,0,1.06,2.12,0,0,1.06,0,0,1.06,0,15.93,0,1.06,3.19,4.25,1.06,0,2.12,0,0,29.74,0,0,2.12,0,0,2.12,94.52,0,1.06,1.06,0
 96-106,0,0,0,0,6.56,1.09,8.74,0,0,3.28,4.37,0,3.28,1.09,2.19,1.09,0,2.19,28.41,1.09,2.19,3.28,14.21,0,0,1.09,0,2.19,19.67,1.09,0,1.09,0,0,0,175.95,0,1.09,2.19,1.09
108-118,0,0,0,0,5.36,1.53,6.13,0,0,7.66,3.83,0,0,0.77,0,0.77,0,1.53,19.92,0.77,0.77,5.36,9.96,0,1.53,0,0,0,19.15,0,0,0,0,0,0.77,191.49,1.53,0.77,0,0
120,0,0,0,0,9.8,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,1.96,25.48,0,0,0,5.88,1.96,0,0,0,0,17.64,0,0,1.96,0,0,1.96,58.79,0,0,0,0
