stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,1,0,31,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0.82,0,1.64,0,0,1.64,0,0,220.81,0,0,0,0,0,0,0.82,78.8,4.1,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0.81,0,1.61,435.87,0,0,0.81,0,0,0,0,97.49,2.42,0,0
 48-58,0,0,0,0,0,31.56,1.15,0,6.31,0,0,0,0,9.18,0,0,504.37,0.57,0.57,0,0,0,0,0,107.88,4.59,0,0
 60-70,0,0,0,0,0,149.19,0,0,7.85,0,0,0,0,6.87,0,0,630.14,0,0,0,0,0,0,0,97.17,0,0,0
 72-82,0,0,2.94,2.94,0,325.91,0,0,16.69,0,1.96,0.98,0,23.56,0,0.98,551.69,0,0.98,0.98,0,0,0,0,82.46,4.91,0,0.98
 84-94,0,0,5.31,1.06,0,195.41,0,1.06,19.12,1.06,0,0,0,14.87,1.06,1.06,296.31,0,0,1.06,2.12,0,0,0,38.23,6.37,1.06,0
 96-106,0,0,6.56,3.28,1.09,210.92,0,0,8.74,0,0,2.19,1.09,28.41,1.09,0,262.28,0,2.19,7.65,4.37,0,0,1.09,16.39,6.56,0,1.09
108-118,0,0,7.66,0,0,170.04,0.77,1.53,6.13,0.77,0,0,0,22.98,1.53,0.77,336.26,0.77,0,1.53,0.77,0,0,0.77,14.55,6.13,0.77,0.77
120,0,0,5.88,1.96,0,148.94,3.92,1.96,13.72,0,0,0,0,19.6,0,5.88,348.84,0,0,0,1.96,0,0,0,11.76,1.96,1.96,0
