stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,5.26,0,0,23.66,0,0,7.89,0,0,0,123.55,0,65.72,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,31.47,0,0,3.15,0,0,0,198.26,0,72.38,3.15,6.29,0,3.15,0,0
 14-21,0,0,0,5,1,1,0,0,0,0,0,1,35,0,1,2,0,4,8,0,0
 24-34,0,0,0,2.46,0,4.1,0.82,0,0,0,2.46,0.82,48.43,0,0,0,0,0.82,9.03,0.82,0
 36-46,0,0,0,0.81,0,8.06,0.81,0,0,0,1.61,0.81,17.72,0,0,0,0,0,8.06,0,0.81
 48-58,0,0,0,0.57,0.57,12.62,0.57,0,0,0,2.3,0.57,13.2,0,0,0,0,0,4.59,0,0
 60-70,0,0,0,0.98,0,10.8,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0.98,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,1.06,0,0,0,1.06,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,1.09,0,1.09,2.19,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0
