stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0.82,0.82,0.82,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,9.67,0,0,0,0,0.81,0,4.03,0,0,0
 48-58,0,0,0,1.15,0,0,0,1.15,0,1.15,0,0.57,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,3.93,3.93,0,0,1.96,0,0,0,0,0,0.98,0,6.87,0,0,0,15.7,0,0.98,0.98,0,1.96,0,6.87,0,0,0
 72-82,0,0,0.98,21.6,12.76,0,0,8.83,0,0,0,0,0,0,0,7.85,0,0,0.98,23.56,0,0,0,0,0.98,0,10.8,0,0,0
 84-94,0,0,0,20.18,6.37,0,1.06,8.5,0,0,0,2.12,1.06,0,0,14.87,0,0,2.12,20.18,0,0,0,0,1.06,0,5.31,1.06,1.06,1.06
 96-106,0,0,0,18.58,14.21,1.09,1.09,8.74,0,0,0,0,1.09,0,1.09,14.21,1.09,1.09,1.09,15.3,0,0,1.09,0,1.09,0,1.09,1.09,0,1.09
108-118,0,0,0,9.19,11.49,0,0.77,7.66,0.77,0,0.77,0.77,0.77,0,0.77,13.79,0.77,0,0,17.62,0,0,0.77,0,0.77,0.77,1.53,0.77,0,1.53
120,0,0,0,13.72,9.8,0,0,9.8,0,0,0,0,1.96,0,0,11.76,0,0,0,21.56,3.92,0,0,0,0,0,1.96,0,0,0
