stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,3,1,0,0,1,0,0,2,5,14,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,9.85,0,0,0.82,0,0,0.82,0.82,0,0,0,0,2.46,0,0,0,176.48,1.64,0,0,0,4.1,0,0,0,0.82,73.88,0,0,1.64,0,0
 36-46,0,2.42,0,1.61,0,0,23.36,1.61,0,0,4.83,0,0.81,0,0,0,0.81,0,0.81,0,0,1.61,591.36,0,0.81,0,0,2.42,0,0,0,0,133.74,0,0,4.83,0,0
 48-58,0,0.57,0,2.87,1.72,0,113.04,0.57,1.72,0,5.74,0.57,0.57,0,0,0,0,0,11.48,0,1.15,5.74,865.3,0.57,0,0.57,0,2.3,0,0.57,0,0,134.84,0,0,1.72,0,1.15
 60-70,0,0,0,6.87,1.96,0,366.11,0,0.98,0,10.8,0,0,0,0.98,0,0,0.98,23.56,0,0.98,0.98,1708.83,0.98,0.98,0,0,1.96,0,0,0,0,193.36,0,0,4.91,0,1.96
 72-82,0,2.94,0,9.82,11.78,0,592.92,0,0,3.93,44.17,2.94,1.96,0.98,0,1.96,1.96,0.98,33.38,0,1.96,1.96,1689.44,0,1.96,0.98,0,3.93,0.98,0,0,0,125.65,0.98,0,2.94,0.98,3.93
 84-94,0,2.12,0,15.93,3.19,0,489.6,0,1.06,2.12,31.86,0,0,3.19,0,4.25,0,0,25.49,0,2.12,4.25,912.29,2.12,0,2.12,0,6.37,0,0,0,0,60.54,1.06,1.06,1.06,0,3.19
 96-106,0,3.28,0,12.02,12.02,1.09,425.12,1.09,0,1.09,32.79,1.09,0,3.28,0,2.19,2.19,0,27.32,1.09,1.09,3.28,725.65,1.09,0,5.46,0,3.28,0,0,0,0,30.6,0,2.19,1.09,3.28,2.19
108-118,0,3.06,0,13.79,2.3,0.77,380.68,0.77,0.77,2.3,24.51,0.77,0,1.53,0.77,0,3.83,0,18.38,0,0,2.3,868.6,1.53,0,0.77,0,0,0,1.53,0,0,14.55,0,0,3.83,0,0
120,0,0,1.96,13.72,1.96,0,344.92,0,5.88,1.96,29.4,0,1.96,7.84,0,0,1.96,0,21.56,0,3.92,5.88,1007.33,1.96,0,0,0,1.96,0,0,0,0,13.72,1.96,0,1.96,0,0
